 l_suppkey |          s_name           | l_orderkey | o_orderdate | o_totalprice 
      3650 | Supplier#000003650        |    3922432 | 1993-06-11  |    207362.91
      1114 | Supplier#000001114        |    3922528 | 1992-11-07  |     91758.10
      2732 | Supplier#000002732        |    3929607 | 1993-12-18  |    227555.78
      3493 | Supplier#000003493        |    3940805 | 1994-04-01  |     75998.40
      4249 | Supplier#000004249        |    3940837 | 1992-12-27  |    307868.01
      5439 | Supplier#000005439        |    3941568 | 1994-08-30  |    233574.59
      2858 | Supplier#000002858        |    3950914 | 1992-09-29  |    133464.62
      9938 | Supplier#000009938        |    3951170 | 1993-10-17  |    144221.77
      1847 | Supplier#000001847        |    3953152 | 1992-02-02  |    249112.00
      8917 | Supplier#000008917        |    3960359 | 1994-11-19  |     99879.89
      8411 | Supplier#000008411        |    3960967 | 1995-02-18  |    182860.67
      8485 | Supplier#000008485        |    3961664 | 1994-01-14  |    254205.20
       790 | Supplier#000000790        |    3961664 | 1994-01-14  |    254205.20
      1655 | Supplier#000001655        |    3971559 | 1993-09-16  |    164978.67
      2153 | Supplier#000002153        |    3972421 | 1994-08-06  |    203458.83
      1237 | Supplier#000001237        |    3972647 | 1993-10-10  |    194084.96
      5740 | Supplier#000005740        |    3981063 | 1994-05-31  |    162326.22
      2979 | Supplier#000002979        |    3981991 | 1992-09-23  |     40577.79
      8960 | Supplier#000008960        |    3982758 | 1993-10-18  |    140281.17
      3326 | Supplier#000003326        |    3992704 | 1992-10-18  |    141711.77
      8773 | Supplier#000008773        |    4002245 | 1992-10-16  |    209692.08
       393 | Supplier#000000393        |    4002630 | 1992-03-20  |    191697.57
      8294 | Supplier#000008294        |    4002848 | 1992-06-06  |    160509.68
      5237 | Supplier#000005237        |    4002915 | 1992-02-06  |    262932.86
       150 | Supplier#000000150        |    4003233 | 1992-09-06  |    256025.59
      2414 | Supplier#000002414        |    4004514 | 1993-04-05  |    120443.04
       132 | Supplier#000000132        |    4013605 | 1994-05-10  |    288425.39
      5514 | Supplier#000005514        |    4022053 | 1992-11-14  |     93834.43
      4088 | Supplier#000004088        |    4022658 | 1994-10-03  |    207472.52
      9205 | Supplier#000009205        |    4023175 | 1992-09-13  |     67338.40
      3447 | Supplier#000003447        |    4024194 | 1994-03-08  |    307357.11
      5870 | Supplier#000005870        |    4024389 | 1992-12-31  |     58542.94
      4555 | Supplier#000004555        |    4025029 | 1993-09-08  |     65509.76
      8239 | Supplier#000008239        |    4032935 | 1992-10-13  |    325282.28
      1935 | Supplier#000001935        |    4033059 | 1993-08-23  |    268145.06
      2509 | Supplier#000002509        |    4035014 | 1993-06-17  |    132603.07
      8257 | Supplier#000008257        |    4044193 | 1993-11-05  |    156832.17
      1164 | Supplier#000001164        |    4044292 | 1994-02-11  |    260139.43
      1230 | Supplier#000001230        |    4044672 | 1993-01-05  |    116548.97
      4643 | Supplier#000004643        |    4044870 | 1992-12-26  |    118505.72
      8146 | Supplier#000008146        |    4053477 | 1993-09-24  |    288587.89
      5107 | Supplier#000005107        |    4053568 | 1992-08-16  |    241852.88
      3103 | Supplier#000003103        |    4053860 | 1992-10-14  |    186501.96
      1550 | Supplier#000001550        |    4064868 | 1995-01-05  |    140808.55
      6081 | Supplier#000006081        |    4065122 | 1995-01-10  |    319966.89
      5274 | Supplier#000005274        |    4074534 | 1995-02-25  |    177775.00
      1088 | Supplier#000001088        |    4076065 | 1992-04-30  |    206344.74
      4352 | Supplier#000004352        |    4084229 | 1993-01-19  |    151254.30
      4788 | Supplier#000004788        |    4085120 | 1992-12-12  |    165323.92
      1780 | Supplier#000001780        |    4085122 | 1994-08-25  |    185904.93
      2404 | Supplier#000002404        |    4094977 | 1993-02-08  |    153818.47
      7377 | Supplier#000007377        |    4106788 | 1993-04-24  |    287768.88
      1792 | Supplier#000001792        |    4114113 | 1992-07-27  |    332181.66
       900 | Supplier#000000900        |    4117254 | 1994-03-10  |    337656.94
      1132 | Supplier#000001132        |    4124707 | 1994-12-29  |     62806.48
      3536 | Supplier#000003536        |    4126146 | 1993-05-03  |    364191.81
      9981 | Supplier#000009981        |    4136257 | 1994-09-06  |    184049.52
(100 rows)

