       c_name       | c_custkey | o_orderkey | o_orderdate | o_totalprice | total_quantity 
 Customer#000066098 |     66098 |    5007490 | 1992-08-07  |    453436.16 |         304.00
 Customer#000012599 |     12599 |    4259524 | 1998-02-12  |    415200.61 |         304.00
 Customer#000013940 |     13940 |    2232932 | 1997-04-13  |    522720.61 |         304.00
 Customer#000093392 |     93392 |    5200102 | 1997-01-22  |    425487.51 |         304.00
 Customer#000003566 |      3566 |    2329187 | 1998-01-04  |    439803.36 |         304.00
 Customer#000017746 |     17746 |       6882 | 1997-04-09  |    408446.93 |         303.00
 Customer#000146608 |    146608 |    3342468 | 1994-06-12  |    499794.58 |         303.00
 Customer#000105260 |    105260 |    5296167 | 1996-09-06  |    469360.57 |         303.00
 Customer#000129379 |    129379 |    4720454 | 1997-06-07  |    448665.79 |         303.00
 Customer#000088703 |     88703 |    2995076 | 1994-01-30  |    363812.12 |         302.00
 Customer#000024341 |     24341 |    1474818 | 1992-11-15  |    491348.26 |         302.00
 Customer#000053029 |     53029 |    2662214 | 1993-08-13  |    446144.49 |         302.00
 Customer#000050008 |     50008 |    2366755 | 1996-12-09  |    483891.26 |         302.00
 Customer#000109379 |    109379 |    5746311 | 1996-10-10  |    478064.11 |         302.00
 Customer#000015631 |     15631 |    1845057 | 1994-05-12  |    419879.59 |         302.00
 Customer#000015272 |     15272 |    3883783 | 1993-07-28  |    500241.33 |         302.00
 Customer#000149842 |    149842 |    5156581 | 1994-05-30  |    411329.35 |         302.00
 Customer#000105410 |    105410 |    4478371 | 1996-03-05  |    412754.51 |         302.00
 Customer#000117076 |    117076 |    4290656 | 1997-02-05  |    449545.85 |         301.00
 Customer#000013072 |     13072 |    1481925 | 1998-03-15  |    399195.47 |         301.00
 Customer#000136573 |    136573 |    2761378 | 1996-05-31  |    461282.73 |         301.00
 Customer#000141098 |    141098 |     565574 | 1995-09-24  |    430986.69 |         301.00
 Customer#000003680 |      3680 |    3861123 | 1998-07-03  |    433525.97 |         301.00
 Customer#000113131 |    113131 |     967334 | 1995-12-15  |    432957.75 |         301.00
 Customer#000107590 |    107590 |    4267751 | 1994-11-04  |    485141.38 |         301.00
 Customer#000134555 |    134555 |    3014530 | 1992-09-25  |    424809.56 |         300.00
 Customer#000112484 |    112484 |    5022466 | 1994-01-26  |    447363.27 |         300.00
 Customer#000021433 |     21433 |    1750466 | 1992-11-30  |    555285.16 |         300.00
 Customer#000055309 |     55309 |    3605985 | 1993-05-18  |    458337.67 |         300.00
 Customer#000029413 |     29413 |    2174884 | 1995-06-05  |    408771.28 |         300.00
 Customer#000091154 |     91154 |     279812 | 1994-02-19  |    467484.22 |         300.00
 Customer#000100015 |    100015 |     945222 | 1992-10-23  |    442215.15 |         300.00
 Customer#000024049 |     24049 |    3586919 | 1992-11-07  |    522644.48 |         299.00
 Customer#000042827 |     42827 |    3699520 | 1993-03-02  |    487994.96 |         299.00
 Customer#000135458 |    135458 |     217248 | 1992-12-25  |    403626.80 |         299.00
 Customer#000015518 |     15518 |    3456515 | 1998-03-26  |    482781.28 |         299.00
 Customer#000032689 |     32689 |    5720199 | 1992-10-06  |    442751.52 |         299.00
 Customer#000062632 |     62632 |    4506945 | 1997-10-11  |    412761.29 |         299.00
 Customer#000080272 |     80272 |     936992 | 1992-12-15  |    435033.60 |         299.00
 Customer#000103441 |    103441 |    4913120 | 1995-11-12  |    426962.56 |         299.00
 Customer#000061741 |     61741 |    2707873 | 1997-06-03  |    425837.44 |         299.00
 Customer#000076204 |     76204 |    3534722 | 1993-05-27  |    410351.34 |         299.00
 Customer#000037954 |     37954 |     925254 | 1997-01-20  |    385816.39 |         299.00
 Customer#000050386 |     50386 |    1642179 | 1993-03-03  |    459630.78 |         299.00
 Customer#000061966 |     61966 |     742112 | 1992-01-29  |    402543.38 |         299.00
 Customer#000058093 |     58093 |     748896 | 1993-04-29  |    454440.26 |         298.00
 Customer#000005938 |      5938 |    3033378 | 1998-07-12  |    455714.84 |         298.00
 Customer#000059272 |     59272 |    2224069 | 1993-04-30  |    466840.78 |         298.00
 Customer#000027242 |     27242 |    2826565 | 1997-01-13  |    434347.91 |         298.00
 Customer#000140506 |    140506 |    3360065 | 1997-12-21  |    461118.75 |         298.00
 Customer#000109186 |    109186 |    3967937 | 1995-07-27  |    502906.33 |         298.00
 Customer#000039775 |     39775 |    3103138 | 1996-11-04  |    433107.50 |         298.00
 Customer#000113119 |    113119 |    3578692 | 1998-06-10  |    428641.66 |         298.00
 Customer#000124061 |    124061 |    4036291 | 1997-03-27  |    429403.37 |         298.00
 Customer#000054145 |     54145 |    2045287 | 1992-11-20  |    367099.46 |         298.00
 Customer#000031828 |     31828 |    1547877 | 1994-10-28  |    422856.30 |         298.00
 Customer#000139985 |    139985 |    2820355 | 1995-10-10  |    487405.74 |         298.00
 Customer#000019163 |     19163 |    2737895 | 1995-08-23  |    436102.69 |         297.00
 Customer#000014471 |     14471 |     469733 | 1994-12-19  |    452388.80 |         297.00
 Customer#000106792 |    106792 |    3407588 | 1993-01-28  |    433270.87 |         297.00
 Customer#000011779 |     11779 |    4986656 | 1993-12-29  |    414356.55 |         297.00
 Customer#000027634 |     27634 |    2667847 | 1996-03-20  |    469499.39 |         297.00
 Customer#000013975 |     13975 |    1297990 | 1996-02-01  |    392536.56 |         297.00
 Customer#000004765 |      4765 |     217541 | 1993-01-16  |    496167.96 |         297.00
 Customer#000065284 |     65284 |    2996450 | 1994-06-02  |    441192.17 |         297.00
 Customer#000100159 |    100159 |    1395745 | 1998-07-28  |    502742.76 |         297.00
 Customer#000107593 |    107593 |    2202308 | 1995-04-15  |    387913.88 |         297.00
 Customer#000107641 |    107641 |    5145796 | 1994-06-21  |    429458.02 |         297.00
(100 rows)

