          n_name           | l_year |    profit     
 RUSSIA                    |   1997 | 47593913.2368
 RUSSIA                    |   1996 | 48647280.9223
 RUSSIA                    |   1995 | 46709048.9089
 RUSSIA                    |   1994 | 47438561.5991
 RUSSIA                    |   1993 | 47538022.8235
 RUSSIA                    |   1992 | 40836990.1978
 SAUDI ARABIA              |   1998 | 34022227.5695
 SAUDI ARABIA              |   1997 | 46958687.7048
 SAUDI ARABIA              |   1996 | 49767775.0071
 SAUDI ARABIA              |   1995 | 46994016.4109
 SAUDI ARABIA              |   1994 | 46208059.6705
 SAUDI ARABIA              |   1993 | 45435059.2087
 SAUDI ARABIA              |   1992 | 38080553.1944
 UNITED KINGDOM            |   1998 | 34792642.7902
 UNITED KINGDOM            |   1997 | 46812532.4162
 UNITED KINGDOM            |   1996 | 44560235.8798
 UNITED KINGDOM            |   1995 | 47349397.2361
 UNITED KINGDOM            |   1994 | 48029258.9138
 UNITED KINGDOM            |   1993 | 44598631.1936
 UNITED KINGDOM            |   1992 | 37954114.9107
 UNITED STATES             |   1998 | 34189910.9789
 UNITED STATES             |   1997 | 47119566.1315
 UNITED STATES             |   1996 | 47877462.3877
 UNITED STATES             |   1995 | 47254668.3890
 UNITED STATES             |   1994 | 44988101.4041
 UNITED STATES             |   1993 | 45211384.0188
 UNITED STATES             |   1992 | 38163407.9647
 VIETNAM                   |   1998 | 37322516.5747
 VIETNAM                   |   1997 | 52806191.3611
 VIETNAM                   |   1996 | 52117270.0286
 VIETNAM                   |   1995 | 50696439.8081
 VIETNAM                   |   1994 | 47677070.3954
 VIETNAM                   |   1993 | 47683346.1311
 VIETNAM                   |   1992 | 43431168.5833
(175 rows)

