 s_acctbal |          s_name           |         s_nation          | p_partkey |          p_mfgr           |                s_address                 |     s_phone     |                                              s_comment                                               
   4627.46 | Supplier#000001742        | VIETNAM                   |      9241 | Manufacturer#2            | sbLubkV9ZTNbLsak6yM4oMz                  | 31-253-408-5060 | des impress carefully final accounts! furiously regular deposits
   4079.01 | Supplier#000006514        | JAPAN                     |     74006 | Manufacturer#4            | 5yIp smf4s36                             | 22-113-782-5493 |  regular, even packages wake furiously according to the bold, even instruction
   2289.05 | Supplier#000003938        | CHINA                     |    163937 | Manufacturer#1            | lVx0lB8r9ZnKIPsSTJnnSsiqpnwnz6S          | 28-643-172-2015 | unts cajole slyly. carefully special requests whitho
    -12.84 | Supplier#000000590        | INDONESIA                 |    120589 | Manufacturer#4            | KhRtsL4Foycp2hUwg bEHkDusXAf             | 19-277-247-1833 | de of the express requests. pinto beans are 
   3361.70 | Supplier#000004007        | VIETNAM                   |    171489 | Manufacturer#3            | cvlSgCCKGOwpaB iFIPx4vU2qA5b6K hz9Z91    | 31-218-453-2389 | s asymptotes use across the furiously even asymptotes. busy waters haggle. blithely iro
   5105.84 | Supplier#000000364        | INDONESIA                 |     35357 | Manufacturer#1            | OhfGUPn8U9oBx5                           | 19-653-706-8164 | regular dolphins promise after the special deposits. blithely final pinto be
   5043.92 | Supplier#000002114        | CHINA                     |    134574 | Manufacturer#2            | oYrzEAWh3pExO                            | 28-461-289-4367 | tipliers wake quickly frays. blithely iro
   4142.33 | Supplier#000007979        | INDONESIA                 |    152948 | Manufacturer#1            | aTz0O9HIdoStxpU,8D                       | 19-787-181-5082 | nts. slyly express packages sleep blithely permanent sentiments. packages believe a
   9658.99 | Supplier#000000143        | JAPAN                     |    152597 | Manufacturer#5            | a3v,6RZMN9p FzRTdV,fm7ehoVgEhifejGnrNY4H | 22-916-300-5765 | s lose slyly about the blithely unusual asymptotes. blithely silent instructions cou
   7992.60 | Supplier#000003951        | INDIA                     |     56435 | Manufacturer#5            | qajkuLHgP cRkdooPutjgKa8zxnYW            | 18-718-405-7747 | fter the quickly special theodolites. fluffily unusual pac
   5905.93 | Supplier#000006250        | INDONESIA                 |     31243 | Manufacturer#2            | rCzFt1t4KiLkuV69kpMAoeQJ                 | 19-311-882-7947 | ts maintain permanently against the ideas. furiously ironic deposits alongside of the pending foxe
   7661.38 | Supplier#000008772        | CHINA                     |     43763 | Manufacturer#2            | 8MSpT0p34itImmB3BUATEeRSD                | 28-918-973-5620 | ven, regular requests are alongside of the enticingly specia
   3952.14 | Supplier#000008305        | JAPAN                     |     28304 | Manufacturer#3            | fo5QkANtn00gbgiailVlt                    | 22-135-901-4717 | inal instructions. furiously regular re
    985.97 | Supplier#000002375        | CHINA                     |    157344 | Manufacturer#2            | pP4gyVgnxG22m 6pAIlNeHQQzujH             | 28-885-378-7547 | ly final requests. quickly express ideas ha
   5980.87 | Supplier#000000497        | JAPAN                     |    167980 | Manufacturer#1            | iLAqlCKDLUGqHrjuOcId7 uYoTmpA            | 22-895-454-2151 | es nag about the furious 
   7921.60 | Supplier#000005593        | CHINA                     |    118059 | Manufacturer#1            | DLs4RI0zsa WbJez23,2RPdSVo6LfVxU         | 28-239-390-1803 | al theodolites haggle carefully. quickly even pearls use quickly. 
   4356.85 | Supplier#000004714        | VIETNAM                   |    127177 | Manufacturer#5            | IKRla2xArMmR4p3Mbn8JV8g0                 | 31-544-746-3697 | r the furiously express packages are quickly enticing, regular pinto beans. spec
   8190.80 | Supplier#000002079        | INDONESIA                 |    109568 | Manufacturer#4            | 2oUXSqxj,oPyDvoEPcgrBKinWFqgWxBa5kglvvo  | 19-917-742-4588 | ar packages affix furiously regu
   -369.69 | Supplier#000005814        | CHINA                     |     95813 | Manufacturer#5            | wktYKjWKuPEvV                            | 28-345-800-1624 | . special sentiments haggle blithely according to the acc
   5898.76 | Supplier#000002939        | JAPAN                     |     27934 | Manufacturer#1            | 20abidKcKK t,Ujv                         | 22-901-588-7686 |  slyly express excuses are according to the bold packages. final instructions sleep. pend
   1215.77 | Supplier#000004776        | INDIA                     |     14775 | Manufacturer#3            | rqBhrPpxZFhTZQ8V3BjoCv8L14Wy67Jy2Y       | 18-924-758-6273 | y regular requests. special instructions us
   5602.30 | Supplier#000001650        | CHINA                     |    179132 | Manufacturer#1            | 0R0dQzwyoH6vgewbsib0u6wnkuj,JCdR         | 28-235-797-5129 | ccording to the carefully regular instructions. pending depths are blithely against t
   7117.46 | Supplier#000003018        | INDIA                     |     68005 | Manufacturer#1            | 1vxIseSmPRpCXvKpPbCJhFDgPZVLAXODdix      | 18-268-925-6512 | ts. furiously even requests are across the pending, pending deposits: requests
   2577.10 | Supplier#000002793        | CHINA                     |    135253 | Manufacturer#2            | aJBVO0DwezZsCpS9cD7DwubbGvSON48MGiWW     | 28-445-136-7777 | lly ironic theodolites wake furiously regular dependencies. even, regular depos
(100 rows)

