 s_acctbal |          s_name           |          n_name           | p_partkey |          p_mfgr           |                s_address                 |     s_phone     |                                              s_comment                                               | ps_supplycost 
   4668.72 | Supplier#000001542        | INDONESIA                 |     14038 | Manufacturer#2            | RsQTMZbEs4j924                           | 19-766-450-1320 | to the accounts impress carefully furiously even pinto beans. blithely special instructions cajole   |        167.90
   5195.60 | Supplier#000009088        | CHINA                     |     14085 | Manufacturer#2            | w0QXNsQj44PdNP79s5KRcEuY6,leVVY          | 28-799-267-6993 | cross the quickly silent packages. ev                                                                |        716.50
   9452.73 | Supplier#000004086        | INDIA                     |     14085 | Manufacturer#2            | KTYGIMlW8QAwgnW3brLo1IJKkT8Jh            | 18-307-627-1756 | ions snooze quickly quickly regular theodolites. fluffily pending                                    |        749.11
   2403.02 | Supplier#000006752        | CHINA                     |     14250 | Manufacturer#2            | i8fWpSw62jh                              | 28-968-869-9241 | carefully ironic deposits. quickly bold packa                                                        |         18.16
   6900.72 | Supplier#000001754        | INDIA                     |     14250 | Manufacturer#2            |  cXPInp4HEXQsROE6ogwSSREHQ               | 18-437-961-2317 | thin, even pinto beans. furiously bold deposits against the i                                        |        715.17
   1215.77 | Supplier#000004776        | INDIA                     |     14775 | Manufacturer#3            | rqBhrPpxZFhTZQ8V3BjoCv8L14Wy67Jy2Y       | 18-924-758-6273 | y regular requests. special instructions us                                                          |        135.16
   1637.14 | Supplier#000009905        | INDONESIA                 |     14902 | Manufacturer#1            | 1cZJO9Z2dPjlc7eX6ES2RQocyMVyf            | 19-632-326-5760 | as according to the slyly regular asymptotes detec                                                   |        865.56
   4663.08 | Supplier#000000255        | CHINA                     |     15252 | Manufacturer#1            | qx16XyCEUh9OawVeQWOlGlhAU32iHFPNkO       | 28-629-327-4139 | s boost. ironic pinto beans along the slyly unusual foxes haggle regular, final asymptotes. reque    |        806.78
   1979.86 | Supplier#000007848        | INDONESIA                 |     15346 | Manufacturer#2            | 3xG5VqbMBECCCX3hPe8 TvXF                 | 19-347-560-9526 | ully ironic accounts sleep alongside of the carefully bo                                             |        818.16
   2839.88 | Supplier#000008124        | INDIA                     |     15622 | Manufacturer#1            | d hPR6,ULpVJ bVqQprQ                     | 18-610-876-7103 | sual instructions cajole. unusual                                                                    |        751.61
   9109.12 | Supplier#000005744        | JAPAN                     |     15743 | Manufacturer#4            | ryzWvnrxMg8km1YMVZaIfOUgv, XVfM          | 22-916-625-1543 | cial asymptotes detect carefully among the carefully even accounts. foxes affix c                    |        625.93
   4694.02 | Supplier#000001048        | INDONESIA                 |     16045 | Manufacturer#5            | f172BTkk1PgyO06NwAt                      | 19-493-938-3406 | out the ironic packages. regular foxes sleep quickly alongside of the ir                             |          3.29
   7834.92 | Supplier#000001568        | JAPAN                     |     16565 | Manufacturer#3            | V7Pk75s64GORPR1BbwN 2I1xawVm6C7OpGRa     | 22-726-915-2985 | g foxes. accounts sleep.                                                                             |        558.62
   2301.99 | Supplier#000006566        | INDIA                     |     16565 | Manufacturer#3            | m HQUuYUa4zmWVbcjqTv8                    | 18-726-992-8016 | ly final theodolites. requests use. s                                                                |        791.05
   3969.42 | Supplier#000009185        | INDONESIA                 |     16683 | Manufacturer#2            | v66BUMEgc3P24E8PLV nMkC3w2bWb            | 19-630-483-6872 | ar pinto beans cajole even,                                                                          |         41.05
   7406.30 | Supplier#000001686        | CHINA                     |     16683 | Manufacturer#2            | LotsVSpeE7V6C                            | 28-786-924-2891 | cuses doze slyly blithely ironic epitaphs. blithely even accounts dou                                |        800.89
   2101.80 | Supplier#000001994        | INDONESIA                 |     16991 | Manufacturer#2            | Vy2W83Uop8MgGn                           | 19-410-152-4401 | xes. silent packages snooze express                                                                  |        285.82
   8776.34 | Supplier#000006992        | CHINA                     |     16991 | Manufacturer#2            | Wrosic29lr6isSctUf OShRaPgFbPcLB         | 28-147-515-6998 | sual foxes according to the furiously final braids kindle quickly carefully                          |        478.96
   2232.83 | Supplier#000004495        | CHINA                     |     16991 | Manufacturer#2            | BMVfijkPjiRGXfi3ks9qbijFAGg8J7LogWyjBgcS | 28-312-659-9245 | quickly special depths. sentiments sleep unusual, ironic ideas. final, even                          |        859.79
   4999.94 | Supplier#000005125        | JAPAN                     |     17621 | Manufacturer#5            | sdi55cW4MJZDi4                           | 22-317-409-3573 | equests thrash. blithely even                                                                        |        176.67
   2693.76 | Supplier#000002624        | INDIA                     |     17621 | Manufacturer#5            | Ehmo9DNJ1prmKBlvQCs                      | 18-632-900-4407 | nos are slowly silent accounts. furiously unusual dolphins nag blithely express foxes. carefully fin |        190.38
   7786.91 | Supplier#000002976        | VIETNAM                   |     17973 | Manufacturer#2            | LD4J,ohC3sUG2ZT1PhOH                     | 31-616-221-9262 | us pinto beans. slyly bold sautern                                                                   |        179.44
   6746.48 | Supplier#000005743        | VIETNAM                   |     18239 | Manufacturer#3            | cbIUTLIk6VacVEiMQaLWRaGJB4SGaGIg8        | 31-390-660-6966 | ual frays use blithely idly express instructions. bold                                               |        921.08
   5883.30 | Supplier#000008440        | INDIA                     |     18439 | Manufacturer#2            | hLodfZoCv4q4axaQm7r925TDKn               | 18-495-197-2800 | ly. quickly special requests dazzle quickly. pending patterns wake accor                             |         66.75
   3846.91 | Supplier#000000941        | VIETNAM                   |     18439 | Manufacturer#2            | gqG2XEnVlzUhjjfQGYGlwk,jcaNsplI8Rleg     | 31-412-752-5573 | ronic theodolites. final, unusual                                                                    |        323.10
   2051.05 | Supplier#000006408        | INDONESIA                 |     18904 | Manufacturer#4            | m9kAV0yvdtlzmj2exl7DyN5 u8VnHncTvV5awq95 | 19-723-538-9273 |  furiously ironic deposits doze slyly after the ir                                                   |        511.15
    695.92 | Supplier#000001406        | INDIA                     |     18904 | Manufacturer#4            | xvfVP4UqVFTqXGjedP7U86UuOU1QzQla3Wj4O    | 18-819-576-1262 | odolites play daring excuses: blithely final deposits sleep quickly final a                          |        677.57
   7757.76 | Supplier#000004222        | INDONESIA                 |     19219 | Manufacturer#1            | y9KrpjIHV2hrEN4UjQsgcXT                  | 19-316-548-3899 | fluffily express asymptotes nag enticingly fluffily regular pinto beans. carefully                   |        167.73
   7153.83 | Supplier#000009220        | VIETNAM                   |     19219 | Manufacturer#1            | N4y,vP kdArpcmdypBh,fJVVB                | 31-599-538-2318 | ckages sleep after the slyly ironic epit                                                             |        356.20
   2631.26 | Supplier#000007019        | VIETNAM                   |     19515 | Manufacturer#4            | 2GQsALzRiTt2BQum6bocdeGawkOrsjNIZ        | 31-277-340-1713 | ts. ironic requests around the accounts play quickly express foxes. furiously                        |        748.42
   9209.53 | Supplier#000001313        | JAPAN                     |     21312 | Manufacturer#5            | 8Rh,5SSqCH                               | 22-203-596-3566 | ckages wake. slyly ironic instructions wake accounts! quickly ironic epitaphs hag                    |        899.19
   5588.93 | Supplier#000005089        | INDIA                     |     22586 | Manufacturer#2            | N6FJJ3hqOurzKReEyY1a                     | 18-698-287-5739 |  slyly bold asymptotes. thin packages wake blithely. ho                                              |        465.98
   2761.29 | Supplier#000005282        | INDONESIA                 |     22779 | Manufacturer#4            | NQI2D1E3kxF678qVMz18d03rhoRDMlI          | 19-544-884-7288 | nic accounts wake quietly above the blithely final instructions. even foxes doubt slyly.             |        453.78
   5508.50 | Supplier#000002797        | INDONESIA                 |     22796 | Manufacturer#1            | O2ul2htH4kg1TRsn5d                       | 19-530-852-4505 | theodolites. carefully even platelets haggle blithely above the unusu                                |        402.29
   4500.90 | Supplier#000000303        | INDIA                     |     22796 | Manufacturer#1            | MCFk0WJH4O9Fj,m3as3bdIgnP4pe 8qPj,wfo    | 18-932-912-3102 | ously carefully final foxes. fluffily silent requests across the fi                                  |        876.30
   4614.07 | Supplier#000002995        | VIETNAM                   |     22994 | Manufacturer#2            | RWgWCeIgsXXHgCxWZ5jd                     | 31-224-848-8404 | uests detect furiously! blithely bold excuses detect furiously carefull                              |        845.83
   5466.86 | Supplier#000005676        | VIETNAM                   |     23173 | Manufacturer#2            | HInJHZisl5svSU1oKsr                      | 31-411-864-6979 | quests. pending, brave deposits cajole blithely. furious asymptotes                                  |        948.75
   -239.39 | Supplier#000005873        | INDONESIA                 |     23370 | Manufacturer#3            | fymmowXPSlMtTLSZtgX5GdH8jbWTifvuSy       | 19-458-725-2451 |  slyly theodolites. pending hockey pl                                                                |        404.40
   7306.32 | Supplier#000006895        | CHINA                     |     24392 | Manufacturer#2            | hIHfCilwAb                               | 28-398-229-8466 | . ironic pinto beans among the slyly final packages promise carefully e                              |        959.25
    640.06 | Supplier#000004882        | VIETNAM                   |     24881 | Manufacturer#2            | e,V Bo1KZEt                              | 31-537-780-2105 | uiet accounts after the ironic, pending theodolites sleep carefully ironic packages. ironic pac      |        565.37
     21.18 | Supplier#000000026        | VIETNAM                   |     25021 | Manufacturer#1            | iV,MHzAx6Z939uzFNkq09M0a1 MBfH7          | 31-758-894-4436 |  ideas poach carefully after the blithely bold asymptotes. furiously pending theodoli                |        758.67
   5469.56 | Supplier#000002528        | JAPAN                     |     25021 | Manufacturer#1            | sCNrdl2h9YEfToc7JhqpOtwz3                | 22-426-661-4377 | l instructions wake fluffily quickly special requests                                                |        911.33
   7481.29 | Supplier#000004752        | INDIA                     |     27245 | Manufacturer#2            | r,radSvDXKi04KrAH 4 YGO0IWQo5KYNQ        | 18-700-890-4203 | ans are above the final, dogged instructions. slyly                                                  |        343.09
   1072.26 | Supplier#000002594        | INDONESIA                 |     27589 | Manufacturer#3            | BJdtygY30B7X6fqO4iCQukCWuseKiUkdTKC9aIhe | 19-468-860-7708 | sly slow depths cajole fluffily. final acco                                                          |        772.76
   4161.31 | Supplier#000007660        | JAPAN                     |     27659 | Manufacturer#4            | q0w4EwU7MseVbhDR1A                       | 22-819-312-9279 | ss packages shall have to use ironic, final accounts. quietly p                                      |        565.24
   1095.86 | Supplier#000002664        | CHINA                     |     27659 | Manufacturer#4            | Yubrd7VE sB                              | 28-949-545-1481 | ites. final accounts nag. blithely ironic requests boost. regularly regular sauternes nag acr        |        593.49
   -170.22 | Supplier#000000162        | INDONESIA                 |     27659 | Manufacturer#4            | hf2fnryOkI9VjFN8R8i5rRWguXzdlMu3o        | 19-905-888-6020 | sits. even frets believe fluffily. fluffily regular accounts                                         |        706.35
   5898.76 | Supplier#000002939        | JAPAN                     |     27934 | Manufacturer#1            | 20abidKcKK t,Ujv                         | 22-901-588-7686 |  slyly express excuses are according to the bold packages. final instructions sleep. pend            |        130.06
   5283.98 | Supplier#000000479        | CHINA                     |     27976 | Manufacturer#5            | tdLkV2Ks0wBP1VlwdnPUxZnWADmxlbmRVE0a6h   | 28-851-500-5156 | s. blithely final asymptotes haggle fluffily. regular ideas                                          |        189.43
   4885.04 | Supplier#000008044        | JAPAN                     |     28043 | Manufacturer#4            | uVZlh XFXzpo                             | 22-952-525-1962 | pinto beans. even sauternes about the finally final deposits cajole slyly unusual, ironic theodolite |        161.66
    533.78 | Supplier#000005764        | INDIA                     |     28257 | Manufacturer#3            | VoAeTqnKXYmAEVpZy                        | 18-242-175-8608 | ounts. blithely special hockey players cajole. furiously even depos                                  |        203.32
    486.80 | Supplier#000000760        | VIETNAM                   |     28257 | Manufacturer#3            | ob94rzX66tJ35aKv2jR,inK1                 | 31-367-390-9165 | aphs. regular asymptotes wake quickly slyly ironic ideas. si                                         |        392.10
   8442.70 | Supplier#000008258        | INDIA                     |     28257 | Manufacturer#3            | JaTsYwI4yFu283q83                        | 18-239-643-9980 | ions. thinly special accounts                                                                        |        629.00
   3952.14 | Supplier#000008305        | JAPAN                     |     28304 | Manufacturer#3            | fo5QkANtn00gbgiailVlt                    | 22-135-901-4717 | inal instructions. furiously regular re                                                              |        120.36
   6390.23 | Supplier#000003309        | JAPAN                     |     28304 | Manufacturer#3            | zxjUE,0eR7cIyqKj88gzjSS                  | 22-607-835-8562 | y ironic deposits cajole dogged, regular instructions. final instructions doubt. furiou              |        751.29
    522.97 | Supplier#000008371        | INDONESIA                 |     28370 | Manufacturer#2            | 3w07P9otks,mGJ0BTuXxd2tiiR2F6HO          | 19-542-303-5317 | st quickly furiously bold courts: f                                                                  |        575.49
   5601.65 | Supplier#000009063        | INDONESIA                 |     29062 | Manufacturer#3            | Bi2Bk7wvzgXHCAoqH6t,r                    | 19-227-328-4842 | nding accounts cajole furiously. deposits cajole carefully fluffily regula                           |        557.87
    384.17 | Supplier#000009255        | VIETNAM                   |     29254 | Manufacturer#5            | QioTMm,SOc6ZnPagEK2                      | 31-359-216-4205 | al asymptotes nag slyly. ironic accounts are bold deposits. regular accounts promi                   |        324.44
   9524.33 | Supplier#000009550        | INDONESIA                 |     29549 | Manufacturer#5            | rsOABl2HDhHUl4kpPsj0gbZPONYWOrfbs8       | 19-471-689-2492 | re ruthlessly against the fluffily bo                                                                |         12.79
   -504.16 | Supplier#000009679        | JAPAN                     |     29678 | Manufacturer#2            | ueTQ9bUt0 iZfFRxiF8hFPwpU4PzVq4SUi8      | 22-592-240-3104 | uests after the slyly express accounts sleep carefully careful platelets. bold de                    |        298.98
    -90.44 | Supplier#000004683        | INDIA                     |     29678 | Manufacturer#2            | tpUsZwbbAmyGSqX5z6                       | 18-108-593-7507 | ic instructions. express, regular sentiments detect. final, special theodolites across th            |        428.69
   2698.36 | Supplier#000009958        | VIETNAM                   |     29957 | Manufacturer#3            | ggiiSA4CSyvhwQUYjdJhWlKEY9PAfs           | 31-196-571-6111 | uches haggle quickly. fluffily express d                                                             |        224.36
   3508.89 | Supplier#000004962        | JAPAN                     |     29957 | Manufacturer#3            | TsvuPcrllO2fkIC5xPsI02qzGLw09vRpnA       | 22-233-662-1715 | ornis sublate furiously according to the bold, regular pa                                            |        725.09
   2528.66 | Supplier#000002999        | INDONESIA                 |     30495 | Manufacturer#3            | Gr5PrGGyZa8U                             | 19-105-965-8570 | hockey players detect across the sly                                                                 |        340.15
   9797.52 | Supplier#000000853        | INDIA                     |     30852 | Manufacturer#4            | hQuhL6zQSZmVifUzpnKvRLNEfJhShDomdbGC     | 18-286-624-2526 | iously. bold accounts cajo                                                                           |        650.77
   3811.95 | Supplier#000008656        | CHINA                     |     31146 | Manufacturer#2            | sMvnqSyJogRS2Cdfrjz85bh2KgG              | 28-315-800-1023 | s sleep slyly carefully final instructio                                                             |        549.22
   5905.93 | Supplier#000006250        | INDONESIA                 |     31243 | Manufacturer#2            | rCzFt1t4KiLkuV69kpMAoeQJ                 | 19-311-882-7947 | ts maintain permanently against the ideas. furiously ironic deposits alongside of the pending foxe   |        118.77
   5051.25 | Supplier#000003769        | INDONESIA                 |     31265 | Manufacturer#5            | lYOcs39GwDE2kxsdk0mLwZRHyp9m             | 19-719-440-9567 | e fluffily special theodolites. carefully regular accounts                                           |        332.19
   -155.18 | Supplier#000006445        | INDIA                     |     31438 | Manufacturer#2            | RKWTc3AfiWaI9UOh4MzAPikF                 | 18-661-694-3094 | special requests. slyly eve                                                                          |        587.01
   -927.99 | Supplier#000008993        | JAPAN                     |     31483 | Manufacturer#4            | jWxltbLn01bkCt8uvu,oYGmw5bDJAOX3QSTY     | 22-701-268-5778 | counts wake fluffily slyly express requests. quickly express packages are furiously                  |        647.76
   5858.49 | Supplier#000004372        | VIETNAM                   |     31868 | Manufacturer#3            | FbNBgnxh4UOgflhmx2rwlk,NsibLhiS2v2P,wCBT | 31-425-890-5322 | riously quickly regular pac                                                                          |        351.72
   9076.51 | Supplier#000001869        | VIETNAM                   |     31868 | Manufacturer#3            | nogoCdaFQii,ri9rs3P8f5rPt1wVOMw9I7TmypxK | 31-431-165-3867 | regular dependencies sleep final, bold deposits. slow platelets according to the                     |        594.88
   2761.29 | Supplier#000005282        | INDONESIA                 |     32778 | Manufacturer#1            | NQI2D1E3kxF678qVMz18d03rhoRDMlI          | 19-544-884-7288 | nic accounts wake quietly above the blithely final instructions. even foxes doubt slyly.             |        357.69
   -864.79 | Supplier#000008161        | VIETNAM                   |     33154 | Manufacturer#1            | hzp mnLVMLO8MX4XfWbNWQjPpD               | 31-554-844-1241 |  solve blithely. furiously special foxes                                                             |         69.06
   4464.67 | Supplier#000005900        | INDONESIA                 |     33396 | Manufacturer#3            | bx3tHCCW62OOsiFfBzbjc                    | 19-170-943-2800 | hely even excuses. slyly pending braids sleep quic                                                   |        946.07
   3690.83 | Supplier#000003522        | INDIA                     |     33521 | Manufacturer#1            | ODcWij9FOSN                              | 18-750-795-2411 | pecial braids. furiously bold requests beside the a                                                  |         58.63
   6240.69 | Supplier#000001031        | INDIA                     |     33521 | Manufacturer#1            | IqSuMmZ2GwR,Zp8z8                        | 18-423-362-3331 | tions serve blithely blithely even                                                                   |        418.57
   5298.91 | Supplier#000001461        | JAPAN                     |     33951 | Manufacturer#1            | k88iU7GXk707r9eKF9Jc9LMHGyumYWsFGpH      | 22-519-392-1119 | as. furiously pending packages are special, silent deposits. busy packag                             |         84.81
