 s_acctbal |          s_name           |          n_name           | p_partkey |          p_mfgr           |                s_address                 |     s_phone     |                                              s_comment                                               
   9524.33 | Supplier#000009550        | INDONESIA                 |    157034 | Manufacturer#4            | rsOABl2HDhHUl4kpPsj0gbZPONYWOrfbs8       | 19-471-689-2492 | re ruthlessly against the fluffily bo
   9524.33 | Supplier#000009550        | INDONESIA                 |     29549 | Manufacturer#5            | rsOABl2HDhHUl4kpPsj0gbZPONYWOrfbs8       | 19-471-689-2492 | re ruthlessly against the fluffily bo
   9522.75 | Supplier#000008228        | JAPAN                     |     70706 | Manufacturer#1            | WyCUGJa30D                               | 22-915-176-4354 | deas. regular deposits alongside of the slyly thin packages cajole
   9522.75 | Supplier#000008228        | JAPAN                     |    190670 | Manufacturer#4            | WyCUGJa30D                               | 22-915-176-4354 | deas. regular deposits alongside of the slyly thin packages cajole
   9504.89 | Supplier#000000767        | VIETNAM                   |     98257 | Manufacturer#5            | bHEuqKKdmCMEKOV                          | 31-880-346-2583 | e slyly carefully special accounts. furiously bold foxes sleep regularly. furiously unusual
   9491.33 | Supplier#000005355        | JAPAN                     |     82846 | Manufacturer#2            | 4PjyW,Ua1KgEZmsEv1tmtKoOvkziBKzSRhLN N   | 22-185-107-2267 | egular courts around the slyly even ide
   9380.82 | Supplier#000007649        | INDONESIA                 |    102628 | Manufacturer#2            | ifREImqBy8                               | 19-179-565-3935 | old packages about the ideas sleep doggedly unusual, special packages. evenly ironic pack
   9380.43 | Supplier#000003810        | VIETNAM                   |    103809 | Manufacturer#4            | 1zPgEZHmn0fbUaQDRNH,uZ uci               | 31-319-356-3632 | l instructions play furiously bold accounts. bold, final accounts a
   9364.67 | Supplier#000000551        | INDIA                     |    128038 | Manufacturer#1            | ZNiqP1w6Z SGZsLllIhaicTnLCCuAepdNbkm6pJ  | 18-297-775-8421 | lithely even instructions poach quickly. furiously bold accounts sleep final, final accoun
   9352.84 | Supplier#000001795        | INDONESIA                 |    194237 | Manufacturer#2            | wmxB8RWp0XJpNqekpZEsHaD                  | 19-853-380-2417 | d haggle. final theodolites sleep among the blithely fi
   9268.80 | Supplier#000007062        | INDIA                     |    129525 | Manufacturer#4            | DGBGsC97WZ uHillDcuwPuK6qYr3vw           | 18-314-204-6543 | uses are. ironic tithes among the regular foxes boost slyly express excuses; quickly dari
   9256.15 | Supplier#000009646        | INDONESIA                 |     77138 | Manufacturer#4            | PNLwcL8HIKRjIx7                          | 19-306-917-5939 | ges. fluffily regular packages sleep slyly on the furiously special foxes. furiously silent pin
   9249.17 | Supplier#000003282        | JAPAN                     |     63281 | Manufacturer#5            | ZYRZsEp8l,kp3h6LsFiDk                    | 22-476-692-7508 | lar pinto beans. furiously regular packages use quickly. packages 
   9209.53 | Supplier#000001313        | JAPAN                     |     21312 | Manufacturer#5            | 8Rh,5SSqCH                               | 22-203-596-3566 | ckages wake. slyly ironic instructions wake accounts! quickly ironic epitaphs hag
   9185.89 | Supplier#000002639        | INDIA                     |    167606 | Manufacturer#4            | DDS86GEba3puFUBs0g1Mlqyi,m,KatYyy0Nb     | 18-981-674-2068 | kages haggle fluffily at the ironic requests. carefully pending asymptotes
   9185.89 | Supplier#000002639        | INDIA                     |    105108 | Manufacturer#4            | DDS86GEba3puFUBs0g1Mlqyi,m,KatYyy0Nb     | 18-981-674-2068 | kages haggle fluffily at the ironic requests. carefully pending asymptotes
   9185.89 | Supplier#000002639        | INDIA                     |    162638 | Manufacturer#3            | DDS86GEba3puFUBs0g1Mlqyi,m,KatYyy0Nb     | 18-981-674-2068 | kages haggle fluffily at the ironic requests. carefully pending asymptotes
   9179.69 | Supplier#000007162        | VIETNAM                   |     97161 | Manufacturer#1            | FhVeZZDNEYZH MEcwstpgw7                  | 31-755-574-2420 | lar deposits. blithely even Tiresias cajole quickly around the even, ironic instruc
   9109.12 | Supplier#000005744        | JAPAN                     |     15743 | Manufacturer#4            | ryzWvnrxMg8km1YMVZaIfOUgv, XVfM          | 22-916-625-1543 | cial asymptotes detect carefully among the carefully even accounts. foxes affix c
   9094.47 | Supplier#000009830        | INDONESIA                 |     59829 | Manufacturer#2            | ogbH63pS,VAoiGpDaMDRTSq7coA              | 19-230-592-9116 | ts. quickly pending packages detect carefully among the furiously regular instructions. ent
   9094.28 | Supplier#000004132        | CHINA                     |    156586 | Manufacturer#4            | 93NSzNRlTdFtzO6Y7YAcJVMm3k6Kejmi         | 28-258-314-7612 | s haggle above the carefully unusual accounts. furiously fi
   9066.41 | Supplier#000007078        | JAPAN                     |    147077 | Manufacturer#5            | KbUybJPPmTnc0aNkcGTwnoIm3C3mC0           | 22-831-188-8290 | ajole quietly pending requests. boldly final foxes boost fluffily. careful
   9042.87 | Supplier#000007100        | INDIA                     |      7099 | Manufacturer#1            | uepAB9PA3BhNu,THXvIB                     | 18-222-364-6257 | ccounts nag. slyly regular ideas use. furiously regular requests print. unusual, stealthy theodo
   9026.06 | Supplier#000004341        | VIETNAM                   |    169308 | Manufacturer#4            | ea8KZYvO7amq8A                           | 31-310-408-4095 | ackages nag quickly even dolphins. slyly final foxes are carefully. instructions accord
   9008.68 | Supplier#000009716        | CHINA                     |      9715 | Manufacturer#5            | VXVt87Jc Eg2w8x8QGk,c3                   | 28-427-307-2561 | ly unusual pinto beans. sometimes express foxes affix fluffily. bold deposits unwind fluffily r
   9007.95 | Supplier#000003176        | INDONESIA                 |     40671 | Manufacturer#3            | YUCh3B5y69ydExisZud1X                    | 19-755-792-6352 | n pinto beans. furiously final requests sleep according to the regular deposits? slyly ironic 
   8973.86 | Supplier#000006905        | JAPAN                     |    109374 | Manufacturer#2            | VAktOD8JapqInpe5xjxDUSic2DnfLFOt4kyTWEw  | 22-648-880-9962 | ounts cajole among the final deposits. slyly
   8940.75 | Supplier#000003698        | VIETNAM                   |    108677 | Manufacturer#2            | lnSEu64ca4B53BfznJPg                     | 31-804-633-2078 | nal theodolites boost fluffily blithely final 
   8940.75 | Supplier#000003698        | VIETNAM                   |    143697 | Manufacturer#5            | lnSEu64ca4B53BfznJPg                     | 31-804-633-2078 | nal theodolites boost fluffily blithely final 
   8901.67 | Supplier#000009387        | CHINA                     |     41874 | Manufacturer#2            | 7POl yxTprmpFaFkLy3m                     | 28-157-601-9339 | oost carefully idle, ironic packages. slyly special foxes along the fluffily unusual
   8853.39 | Supplier#000004123        | JAPAN                     |    199084 | Manufacturer#5            | cj mnWwEmCpO3LHL2                        | 22-394-647-5982 | ual pinto beans alongside of the quickly pending packages detect alongside of
   8843.87 | Supplier#000003551        | CHINA                     |    141036 | Manufacturer#5            | bumlGkLc0PiTwlwIVoIM7yvF6EBPZ0           | 28-242-414-9331 | ke furiously. furiously pending dependencies sleep fluffily ove
   8838.80 | Supplier#000008964        | VIETNAM                   |     78963 | Manufacturer#2            | U2YJW,Y1xCbUWbjuovtzsLfsl                | 31-984-439-7577 | lly bold requests. slyly bold pinto beans after t
   8803.64 | Supplier#000009594        | VIETNAM                   |     69593 | Manufacturer#3            | t5POxK43OIjIfHTB90                       | 31-703-320-6583 | y carefully express platelets. bold, 
   8771.23 | Supplier#000002645        | JAPAN                     |     65126 | Manufacturer#5            | DhTKpVgrzHa4NcbuJtK9ZokCfxuCrugCY        | 22-288-789-8442 |  blithely permanently pending asymptotes. furiously regular requests 
   8752.64 | Supplier#000003163        | INDIA                     |    130649 | Manufacturer#5            | 1a12bXvGYZs3gFSYsRtTJ7I6CZd5OhHNjvY      | 18-380-830-5088 | ily blithely pending pearls. furiously ironic asymptotes detec
   8693.69 | Supplier#000008462        | INDIA                     |    193423 | Manufacturer#2            | 3K6 wmXG E64Mfx 4Et                      | 18-878-705-6103 |  bold, regular foxes beyond t
   8693.69 | Supplier#000008462        | INDIA                     |     70940 | Manufacturer#1            | 3K6 wmXG E64Mfx 4Et                      | 18-878-705-6103 |  bold, regular foxes beyond t
   8611.81 | Supplier#000007954        | INDONESIA                 |    195434 | Manufacturer#1            | b7,8HFIMQGf7ciShy,F9VJYiUjLB             | 19-311-769-3690 | long the carefully ironic requests. notornis
   8611.17 | Supplier#000001638        | JAPAN                     |     41637 | Manufacturer#4            | Kvwg58SG5NmUo1Ovy                        | 22-635-832-5981 | ly final ideas. slyly regular pi
   8601.37 | Supplier#000005280        | INDONESIA                 |    110257 | Manufacturer#3            | NB0MFCA5mH9UklskxDx Qi3oX h39gLySVTK     | 19-299-951-6016 | accounts integrate according to the furiously express cour
   8601.37 | Supplier#000005280        | INDONESIA                 |     82771 | Manufacturer#4            | NB0MFCA5mH9UklskxDx Qi3oX h39gLySVTK     | 19-299-951-6016 | accounts integrate according to the furiously express cour
   8572.69 | Supplier#000007932        | INDIA                     |     52921 | Manufacturer#4            | 4NAtwsPVHVUmuaFXA                        | 18-138-224-6208 | long the deposits wake quickly care
   8568.78 | Supplier#000005924        | CHINA                     |    180887 | Manufacturer#4            | EsAX2Kl2ePben8iCc9airPaQAuA9HIr0c9A4T,K  | 28-596-222-5796 | arefully regular pinto beans use packages. carefully final packages acco
   8531.92 | Supplier#000008230        | INDONESIA                 |     38229 | Manufacturer#5            | NbuT6,ZzZni0                             | 19-446-942-6869 | ly. blithely special platelets wake furiously careful
   8473.17 | Supplier#000002064        | INDONESIA                 |     64545 | Manufacturer#2            | t840Ipd5YG7SZyQQUUEQNPZ fQfjJT5lv        | 19-450-298-8597 | fluffily regular, special theodolites. brave dugouts hag
   8462.97 | Supplier#000004345        | INDONESIA                 |    149316 | Manufacturer#3            | p,LAXgSm x19                             | 19-934-108-4550 |  blithely regular instructions sleep blithely about the furiously pending packages. slyly sil
   8461.22 | Supplier#000003120        | INDONESIA                 |    138093 | Manufacturer#4            | DBhl1PhP1V9vK7OMmo7Ri60dcI               | 19-634-281-8564 | ironic sheaves at the quickly regular packages integrate furiously furiously pending packages. qu
   8442.70 | Supplier#000008258        | INDIA                     |    153227 | Manufacturer#3            | JaTsYwI4yFu283q83                        | 18-239-643-9980 | ions. thinly special accounts 
   8410.80 | Supplier#000006711        | JAPAN                     |    189156 | Manufacturer#4            | i jqPUnq8DM8S5UHIuiNHxK,iv               | 22-657-264-2458 | bold theodolites. unusual dependencies sleep blithely even theodolites. bold acco
   8357.27 | Supplier#000007710        | INDIA                     |     40197 | Manufacturer#5            | zFDRlSRWLZ,y3S Jmn4RnN                   | 18-428-344-2569 | ideas. pending, unusual packages use bravely. quickly bold foxes sleep furiously silent, regul
   8357.27 | Supplier#000007710        | INDIA                     |    120173 | Manufacturer#1            | zFDRlSRWLZ,y3S Jmn4RnN                   | 18-428-344-2569 | ideas. pending, unusual packages use bravely. quickly bold foxes sleep furiously silent, regul
   8331.00 | Supplier#000003420        | JAPAN                     |     93419 | Manufacturer#3            |  iQI07Fr54mpdyJAXUGpY9iZoPu              | 22-220-338-3832 | es haggle fluffily regular deposits. regular deposits according to the regu
   8328.48 | Supplier#000004538        | JAPAN                     |     94537 | Manufacturer#4            | zVurdAlvjH9,qaN7TVPe5ex                  | 22-505-386-6954 | tegrate sometimes. quickly bold theodol
   8303.21 | Supplier#000001218        | JAPAN                     |     98708 | Manufacturer#5            | A bjeBaM3ftph BcnLk,XepDz4MuV4eo         | 22-384-682-3996 | uffily. fluffily final waters are according to the furiously express theodolites. bold, even 
   8228.66 | Supplier#000002967        | CHINA                     |     12966 | Manufacturer#3            | lIgtycEJeN4N1WUZG1hX8v1irzyj4qx7kCwrCZj  | 28-248-238-8501 | in the regular pinto beans. regular, bold instructions sleep slyly. carefully iro
   8190.80 | Supplier#000002079        | INDONESIA                 |    152078 | Manufacturer#3            | 2oUXSqxj,oPyDvoEPcgrBKinWFqgWxBa5kglvvo  | 19-917-742-4588 | ar packages affix furiously regu
   8190.80 | Supplier#000002079        | INDONESIA                 |    109568 | Manufacturer#4            | 2oUXSqxj,oPyDvoEPcgrBKinWFqgWxBa5kglvvo  | 19-917-742-4588 | ar packages affix furiously regu
   8183.66 | Supplier#000000412        | JAPAN                     |     77904 | Manufacturer#1            | S2onAA,jGtQ3qfpN                         | 22-351-499-2131 |  the packages! quickly even warhorses haggle slyly along the final, expre
   8159.59 | Supplier#000007263        | VIETNAM                   |    159717 | Manufacturer#3            | malQPdYc8xiup2MiFuKHa                    | 31-733-855-9694 | , regular foxes. idly express requests sleep evenly final, silent requests. bold, regular deposits u
   8159.59 | Supplier#000007263        | VIETNAM                   |     12260 | Manufacturer#5            | malQPdYc8xiup2MiFuKHa                    | 31-733-855-9694 | , regular foxes. idly express requests sleep evenly final, silent requests. bold, regular deposits u
   8143.30 | Supplier#000004087        | JAPAN                     |    101576 | Manufacturer#4            | gT8xS3tEyvgX9P3ZeEuQ                     | 22-944-125-9013 | es wake slyly between the special instructions? carefully regular waters believe accord
   8128.75 | Supplier#000008769        | INDONESIA                 |     91241 | Manufacturer#2            | KiiYCl3QefsoUd,uv0oqOJ4EmWVpp            | 19-222-817-1767 | grate furiously blithely bold requests. even, final requests above the slyly ironic de
   8028.58 | Supplier#000008050        | INDONESIA                 |    108049 | Manufacturer#3            | 9odvS2iZM 5gJq, cZC2J0hZet               | 19-573-848-7065 | regular somas. final deposits sleep amo
   7992.60 | Supplier#000003951        | INDIA                     |     56435 | Manufacturer#5            | qajkuLHgP cRkdooPutjgKa8zxnYW            | 18-718-405-7747 | fter the quickly special theodolites. fluffily unusual pac
   7963.33 | Supplier#000001570        | JAPAN                     |    111569 | Manufacturer#5            | QF2XhOAWwJeg21avqIRl8E2gi1mXAN75U9a      | 22-348-472-7053 | ins. furiously ironic deposi
   7962.30 | Supplier#000007816        | VIETNAM                   |    112793 | Manufacturer#3            | 1ejcJ545bwLWLuY6Qq4qyEExZIsp0SG          | 31-710-857-3724 | theodolites according to the bold pinto beans print bold foxes
   7962.30 | Supplier#000007816        | VIETNAM                   |    120279 | Manufacturer#3            | 1ejcJ545bwLWLuY6Qq4qyEExZIsp0SG          | 31-710-857-3724 | theodolites according to the bold pinto beans print bold foxes
   7949.07 | Supplier#000008039        | INDONESIA                 |     68038 | Manufacturer#5            | FZ T0P2ZR9kOgv20bhQvICsLtbkY             | 19-829-475-1177 | lithely ironic accounts. blithely quiet attainmen
   7921.60 | Supplier#000005593        | CHINA                     |    118059 | Manufacturer#1            | DLs4RI0zsa WbJez23,2RPdSVo6LfVxU         | 28-239-390-1803 | al theodolites haggle carefully. quickly even pearls use quickly. 
   7916.56 | Supplier#000000953        | VIETNAM                   |    185916 | Manufacturer#4            | wTTb0ilU6Nba1VLsHj6k0jUt4TFFM6rvtXszzA   | 31-642-490-3022 | kages are carefully platelets. blithely enticing platelets c
   7884.48 | Supplier#000006971        | JAPAN                     |     59455 | Manufacturer#2            | S2pAN0uYjU,0fODwI8HBiSxzglO              | 22-523-651-4190 | yly express hockey players. accounts after the special, final deposits integrate above
   7849.87 | Supplier#000006289        | JAPAN                     |    141260 | Manufacturer#1            | W3Q 0yQkF790P5Xb                         | 22-280-229-3372 |  the carefully unusual deposits? furiously final requests wake. slyly special pinto beans cajole
   7841.05 | Supplier#000005954        | INDONESIA                 |       953 | Manufacturer#4            | wOwcbbHNV2p,Glt8SijFnE9ZLcTbnhESeLvyFN   | 19-145-589-1532 | fully regular foxes nag carefully! even ideas cajole permanently special deposits. carefull
   7834.92 | Supplier#000001568        | JAPAN                     |     16565 | Manufacturer#3            | V7Pk75s64GORPR1BbwN 2I1xawVm6C7OpGRa     | 22-726-915-2985 | g foxes. accounts sleep. 
   7829.51 | Supplier#000005681        | INDIA                     |    153165 | Manufacturer#5            | In3MJ575HjR                              | 18-620-726-3005 | ts. carefully regular deposits c
   7796.18 | Supplier#000009801        | JAPAN                     |    162252 | Manufacturer#4            | loKjUMxr,JZC                             | 22-293-385-2049 | ins affix. even ideas cajole furiously ironic theodolites. express theodolites promise quickly pendi
   7786.91 | Supplier#000002976        | VIETNAM                   |     17973 | Manufacturer#2            | LD4J,ohC3sUG2ZT1PhOH                     | 31-616-221-9262 | us pinto beans. slyly bold sautern
   7757.76 | Supplier#000004222        | INDONESIA                 |     19219 | Manufacturer#1            | y9KrpjIHV2hrEN4UjQsgcXT                  | 19-316-548-3899 | fluffily express asymptotes nag enticingly fluffily regular pinto beans. carefully 
   7757.26 | Supplier#000002466        | INDIA                     |     87449 | Manufacturer#2            | lhyLkN5MSl3SzXCc0a                       | 18-121-162-5720 | g the regular requests nag furiously fluffily express deposi
   7720.17 | Supplier#000003869        | CHINA                     |    111357 | Manufacturer#5            | ,HZ,uHgmGOyUSyXE8A5FKm                   | 28-193-913-3630 | special deposits are quickly. unusual warthogs kindle fur
   7692.44 | Supplier#000004398        | VIETNAM                   |    149369 | Manufacturer#2            | khZZ0CmLip49Zncec                        | 31-691-972-3445 | s haggle fluffily regular, special accounts. fluffily ironic foxes among the quickly b
(100 rows)

