          s_name           |                s_address                 |          nation           | o_orderkey 
 Supplier#000006054        | J8eAsovizNKTFchDunimO4FjM                | ETHIOPIA                  |    2322240
 Supplier#000003411        | ZMgZGp KDGuSXzo5j7595iv,t,l1L            | ETHIOPIA                  |    3763780
 Supplier#000004774        | s3Q0WRzpHmSxgHAzXFD                      | ETHIOPIA                  |     335937
 Supplier#000003872        | fk2YzCQeGM5Pt5gLFlobjSby fBApdl5qwVy2    | ETHIOPIA                  |    5483104
 Supplier#000009798        | VaBb,n0TkZBkB,r,UBDqK241uWZDcEb          | ETHIOPIA                  |    5322211
 Supplier#000003058        | Aw XxUmBnEk                              | ETHIOPIA                  |    2292384
 Supplier#000003443        | XqVQLbwQ0uG                              | ETHIOPIA                  |    4842019
 Supplier#000004555        | ,3q9,Ejcr,PN                             | ETHIOPIA                  |    1073665
 Supplier#000009205        | aOda ,dPIR352HUA6UlqjhI6GqBmqJMh, ahIgAS | ETHIOPIA                  |      78592
 Supplier#000000339        |  ESOHA53rEW5G7Z75w5hJ                    | ETHIOPIA                  |    1810531
 Supplier#000004919        | xegp3uXfPs7yf7tph30pfHarsSazkylMQv2      | ETHIOPIA                  |    5250592
 Supplier#000005396        | Mq3JuBQD3gwDepGWYFhJ                     | ETHIOPIA                  |    2373474
 Supplier#000001164        | 4zRI bPJf5ST2fBFZw,                      | ETHIOPIA                  |    5157191
 Supplier#000005016        | Pm76cd7RQpEoslbXa9hH6Fm,9z               | ETHIOPIA                  |    1141667
 Supplier#000001531        | SRV0tsqpwsgBHM,0LJRj9NWJ9SBDl4PSL        | ETHIOPIA                  |    1683205
 Supplier#000009153        | HO1p,hzFE5FdhA0ven                       | ETHIOPIA                  |    3175270
 Supplier#000009344        | N1A48rWNnF63i,ePPBscDmOnHPRSJu           | ETHIOPIA                  |    2058785
 Supplier#000003847        | fZI7MkOKUxtbb                            | ETHIOPIA                  |     922336
 Supplier#000006081        | t9BY2txVHYFZ XtK11jfKU                   | ETHIOPIA                  |    2347205
 Supplier#000000360        | 3avxIDL4YPrZVHie4rOiPrK8Z IJwEPqZaioHK   | ETHIOPIA                  |    5700193
 Supplier#000004706        | G bSXMhb0,QoBh                           | ETHIOPIA                  |    5421828
 Supplier#000001531        | SRV0tsqpwsgBHM,0LJRj9NWJ9SBDl4PSL        | ETHIOPIA                  |    3801989
 Supplier#000004929        | dzUOBgSae7hmM6qDXc9D9T1C8zeVt139         | ETHIOPIA                  |    4655650
 Supplier#000004788        | rmYoEMq8npBFGz9uM                        | ETHIOPIA                  |    5884293
 Supplier#000003259        | AIEQ9swZsDtAQyho3YAjeQY3kplxytz          | ETHIOPIA                  |    2035045
 Supplier#000007547        | FmcZf4dgulcZkMWETmVmH2OfSSu6AlwBg        | ETHIOPIA                  |    3764423
 Supplier#000002147        | ZuMql8hTTEer                             | ETHIOPIA                  |     867558
 Supplier#000001727        | YI0bCXSwEXpz,SUoF iveZ                   | ETHIOPIA                  |    2186663
 Supplier#000003190        | uKuj uR2JS0HGJsmDHiCrOj6vFLxVMq          | ETHIOPIA                  |    4016257
 Supplier#000003447        | h7En559MI3o454De6Ye75                    | ETHIOPIA                  |     815591
 Supplier#000006018        | kZ1m1FQgw02zR                            | ETHIOPIA                  |    5914306
 Supplier#000004643        | bYPG1 gDvsOhi5RsgY2BxL  iWc,L22pmAe      | ETHIOPIA                  |    2399303
 Supplier#000009429        | LvcH9y3y5Q2XaN,vIo                       | ETHIOPIA                  |    4215623
 Supplier#000007603        | afAJNTKJPBb rwxa6SBbkY                   | ETHIOPIA                  |    3953952
 Supplier#000005380        | owZmt SBTXg57CQ9kMPM7C                   | ETHIOPIA                  |     672163
 Supplier#000003433        | U,Ccsi8VrSqtkZ1BnPJkpzuViKtuIVOmirXtwu   | ETHIOPIA                  |     448454
 Supplier#000008294        | mcspZQuGVa60ELStjl                       | ETHIOPIA                  |    5848422
 Supplier#000004792        | UUyeceVcL,KJaeb49OzQJwebcJA              | ETHIOPIA                  |     365415
 Supplier#000009981        | NX1n8lXZ0ouphhFqAPKth58qURAu0XrXxxx      | ETHIOPIA                  |      81409
 Supplier#000003197        | xN7urTEvf3bME1qOMJ,CRmm                  | ETHIOPIA                  |    5391810
 Supplier#000000393        | hxGMP2tFry WHEeI5cmEFVF027E              | ETHIOPIA                  |    2059617
 Supplier#000008175        | oQI,qqyotirXMmymmKlc8Zg5x9 CGIVh3zp      | ETHIOPIA                  |    4464131
 Supplier#000002498        | VvpYr7G6OozCvtkIW6qdEZBi3918Vb           | ETHIOPIA                  |     797316
 Supplier#000008292        | paQEp sV7TNxy5BkskJTZQkV                 | ETHIOPIA                  |    3361856
 Supplier#000002153        | fvGJKuSkubeTJU8wOG5M                     | ETHIOPIA                  |     977639
 Supplier#000003701        | RhXkYsRMx6SUaFg6RslNl2,9v7iU8S6q2W0g     | ETHIOPIA                  |    3149894
 Supplier#000008957        | f2v0skC2m3tQt8heKXi6aficqfV69gFjzQ7o     | ETHIOPIA                  |    5995846
 Supplier#000005088        | X4UmuzzZBdYkCQR59IFULKDPYO               | ETHIOPIA                  |    5478946
 Supplier#000009682        | 9lp047LVW3K,G1HG                         | ETHIOPIA                  |    5368324
 Supplier#000001088        | 4GAszSHeEDCKAjzBHRsI79Tv                 | ETHIOPIA                  |    5509250
 Supplier#000006051        | d6Q ULNKOR65Rbfx6NBKbvaKMt ,FoHCVr2      | ETHIOPIA                  |    2555296
 Supplier#000000723        | ZFI9Pb HTy,8e,mY0mqP6ThbN                | ETHIOPIA                  |    4363267
 Supplier#000005088        | X4UmuzzZBdYkCQR59IFULKDPYO               | ETHIOPIA                  |    1629698
 Supplier#000000723        | ZFI9Pb HTy,8e,mY0mqP6ThbN                | ETHIOPIA                  |    5926308
 Supplier#000001114        | f,UYBv5a7bpz E4v08Z0i                    | ETHIOPIA                  |    2305607
 Supplier#000005270        | hLnk3T32Fqen43k40FJMSUOnjZZt,h6F,qNwJ43  | ETHIOPIA                  |    5902214
 Supplier#000000231        | uZfFnyAs9oFJ0No97rtQ OIV1AOYi            | ETHIOPIA                  |     582244
 Supplier#000003881        | vmqfjM73hPvUEaE3dR0ITCrqUDl4ccNd77Q      | ETHIOPIA                  |    5879110
 Supplier#000009348        | uOf8xE8iJXh0rsu                          | ETHIOPIA                  |    1552580
 Supplier#000008485        | UKbWnxfcaS,gZklz                         | ETHIOPIA                  |    3224198
 Supplier#000004673        | 2atTtfdPLk9                              | ETHIOPIA                  |    5869156
 Supplier#000000464        | XwZyuXCVeO5wb5izvhfeX                    | ETHIOPIA                  |    4710016
 Supplier#000005784        | j1TfApFp0Heyajtm3vOjKGAvQ6J              | ETHIOPIA                  |    5379781
 Supplier#000005746        | QAX1j3ALe  VdS                           | ETHIOPIA                  |     501222
 Supplier#000007741        | kQDmLOO5Y8R                              | ETHIOPIA                  |     716935
 Supplier#000002973        | x95AAV25GHIAYU yhQsM                     | ETHIOPIA                  |    1561445
 Supplier#000007547        | FmcZf4dgulcZkMWETmVmH2OfSSu6AlwBg        | ETHIOPIA                  |    3528065
 Supplier#000004368        | oYnKb7WNX5bPZww7PQfQ                     | ETHIOPIA                  |    3085024
 Supplier#000006870        | aHlcaI7YjJ9mMnVE6GvTjBqL5NcWoIjToy       | ETHIOPIA                  |     416134
 Supplier#000008466        | pGUWUwyKCxT,9Qb6                         | ETHIOPIA                  |     307136
 Supplier#000002770        | Y4O7cs1mRjv5ih 0nt RFI2qwNK              | ETHIOPIA                  |    5123623
(100 rows)

