 l_partkey |  part_value  
    183332 |  757201.5500
    135913 |  757190.5132
    184520 |  757092.7620
    130401 |  756208.6200
      5764 |  756150.8160
     28918 |  755238.4372
     98911 |  754930.1257
     93565 |  754467.7248
    112952 |  754206.7585
     45615 |  754102.3581
     57940 |  753558.0976
     33974 |  752827.7229
     54676 |  752635.7385
     29213 |  752042.4861
    160760 |  751828.2192
    104808 |  750372.3040
    198972 |  749214.8169
    161586 |  748989.8680
    149885 |  748682.4672
    170990 |  747603.5126
     50865 |  747062.9626
    185950 |  747051.1335
    108990 |  746962.5933
    196342 |  746944.3454
    188900 |  746871.7280
    156312 |  746358.3726
     74432 |  746237.6937
    191825 |  744972.0930
     24854 |  744573.2445
     58986 |  744479.9946
     81561 |  744377.7536
    195950 |  744112.0150
     85846 |  744020.1344
    176177 |  744019.5607
    191774 |  742483.1715
     26614 |  742188.8675
    137974 |  742034.6557
    190811 |  740907.1398
     86939 |  740327.4920
     95825 |  740145.1218
    155756 |  739646.9375
     46611 |  739553.2280
    124463 |  739401.4914
    122615 |  738512.9817
    158955 |  738314.0700
    138482 |  738253.8592
    102917 |  737859.8112
    187234 |  737854.1058
    126388 |  737797.1832
    187907 |  737674.1220
     83997 |  737185.8087
     73999 |  736951.2248
    183632 |  736914.5539
    159802 |  736751.4960
     30584 |  736661.4204
    155963 |  736637.7456
     42720 |  736584.9600
     70778 |  736372.0716
    195937 |  735758.0256
    198938 |  735718.7467
    112590 |  735668.9395
    150862 |  735513.7986
    146956 |  735443.1810
    189858 |  735099.1115
     54432 |  734918.8144
    179858 |  734290.1220
     93885 |  734040.8384
    131589 |  733652.7718
     33751 |  733186.3525
     23882 |  733024.7508
    165959 |  731897.9280
    114872 |  731860.2669
     52596 |  731259.6839
      6983 |  731063.1638
    126701 |  731007.1470
    169754 |  730685.4375
      1620 |  730499.3296
    153821 |  730261.1382
     49653 |  729430.1210
    104863 |  729268.5798
    113935 |  729114.2023
     37919 |  728818.6059
     63579 |  728740.9194
     96929 |  728248.1296
    127703 |  728243.9460
    199583 |  727850.4564
     18368 |  727783.8972
     66941 |  727497.5220
     57586 |  727442.9466
     54964 |  727305.0296
    121983 |  726805.2500
     40422 |  726673.9554
     96576 |  726370.0830
    172307 |  726215.2430
    198983 |  725653.3092
     58958 |  725603.9140
    101758 |  725492.1325
     68906 |  725155.0730
    140883 |  724302.3424
     71984 |  723966.8774
    198837 |  723942.3451
     58929 |  723941.8032
     98867 |  723207.3360
     20771 |  722842.5679
    196382 |  722706.0630
    192890 |  722168.5380
    107894 |  721919.4062
    136477 |  721864.6512
     57978 |  721361.7817
     58731 |  721109.1748
     32534 |  720872.8215
    169812 |  720149.8689
    185892 |  719853.0655
    109843 |  719809.8116
    184393 |  719799.1819
    165963 |  719732.9808
    131420 |  719396.3230
    147495 |  719340.2115
    133774 |  719076.6729
    131947 |  718770.7974
    180603 |  718728.8400
    121984 |  718521.9762
     13885 |  718328.7616
    175576 |  718218.2459
     89895 |  718161.9389
    143622 |  718082.0944
     81900 |  717135.6330
     85934 |  715980.2956
    140864 |  715751.1450
    128797 |  715654.9063
     74955 |  715393.8660
     80619 |  715361.5881
    160861 |  715200.9804
    151945 |  714884.5506
    120786 |  714581.4900
     47550 |  714541.0070
    108902 |  714370.8560
    189372 |  714317.6560
    134660 |  714231.4036
    185868 |  713823.2124
    181420 |  713309.6278
    121120 |  713188.5888
     49917 |  712972.9290
    152943 |  712830.0116
    184863 |  712702.4954
     42581 |  712593.6018
    105730 |  712499.8077
    106933 |  712458.6918
    111813 |  711256.1937
    173987 |  711223.5882
     33954 |  711190.7650
    143378 |  711111.4110
    119677 |  710887.7633
    198900 |  710808.8400
     84881 |  710751.0096
    158984 |  710446.2950
     97853 |  710282.1960
     63713 |  710271.1231
    136924 |  710206.0056
     83911 |  710041.7261
    115865 |  709911.7984
     45224 |  709623.0024
     43939 |  709563.3412
     31318 |  709495.6421
     87565 |  709411.2408
     90596 |  708872.5461
     41903 |  708773.6820
    169967 |  708760.2320
     71925 |  708746.2196
    118543 |  708408.2364
     39677 |  708198.4602
     18911 |  708138.5718
    147612 |  708122.3948
       590 |  708104.7795
     79941 |  708096.9028
     35616 |  707875.5142
     48624 |  707773.3572
     19399 |  707579.9130
     76731 |  707478.3844
     54802 |  707059.2960
    170975 |  706534.8201
     93641 |  705804.8592
     79880 |  705526.8792
    176576 |  705465.6073
    176742 |  705289.1846
     80933 |  705264.0657
    135404 |  705032.5140
     75433 |  704750.2034
    177871 |  704613.9485
     53942 |  704531.3040
    141837 |  704523.6734
     94620 |  704523.2908
    140596 |  704290.1406
    180912 |  704115.0321
    133841 |  704039.9168
    178589 |  703835.4906
     22580 |  703763.3946
     66703 |  703611.5800
    123993 |  703364.7528
    171412 |  702765.4875
    113332 |  702598.5925
    196500 |  702491.9300
     73620 |  702101.1634
     85614 |  701508.9655
     55610 |  701111.4702
    174349 |  700895.3162
     84633 |  700417.6137
    199825 |  700153.2750
    154845 |  700110.0384
    185851 |  699977.5900
    120706 |  699935.1120
    187560 |  699932.9148
    136921 |  699780.1872
     79898 |  699645.4773
    197798 |  699508.5942
    149936 |  699484.2646
    111388 |  699326.1612
     67628 |  698993.2534
    171946 |  698873.1602
     55870 |  698687.4142
    169828 |  697657.6102
    168425 |  697068.7192
     70565 |  697036.7508
     57547 |  696842.7464
     57728 |  695983.2164
     84921 |  695908.5696
     23896 |  695707.5492
    142905 |  695439.2580
    186772 |  695291.5062
    128274 |  695216.8395
    136870 |  695168.5272
     94102 |  695015.0880
      1883 |  694943.0280
    112871 |  694808.9334
    186467 |  694443.2238
    135734 |  693981.9222
    131458 |  693979.4385
    180688 |  693941.5980
    182871 |  693682.4661
     31905 |  693576.7020
    151837 |  693332.8281
    158674 |  693033.3466
    159815 |  692986.0203
     78972 |  692808.9567
     81953 |  692808.8475
     29841 |  692646.3576
    169686 |  692299.7376
    167921 |  692164.0492
    162994 |  691724.5972
     78867 |  691200.7356
    116609 |  691042.5600
    157889 |  691025.5872
     77541 |  690935.7000
    158584 |  690819.8706
    164857 |  690655.2345
     60395 |  690259.4653
    187964 |  690074.1480
    164869 |  689614.4760
     77958 |  689604.7495
     42824 |  689589.8460
    102362 |  689520.2568
     86482 |  689421.9904
    132894 |  689344.8975
     55580 |  689229.7272
    104633 |  689065.5751
    172535 |  688906.9815
     92956 |  688680.9720
     81851 |  688381.8030
     97539 |  687965.9422
    150912 |  687627.0021
    108634 |  687440.6550
    145114 |  687352.2300
    174596 |  687230.6083
     48877 |  687147.9158
    170555 |  687054.9630
    175509 |  686357.8650
    182727 |  686101.0464
     98871 |  685026.8745
     22936 |  684792.6334
    130865 |  684443.3772
     36983 |  684127.2736
    198222 |  683662.7248
    106764 |  682982.1320
    119872 |  681773.1919
     77793 |  681665.6105
    103382 |  681482.2758
      8888 |  681394.8648
     46646 |  681076.5696
     82573 |  680966.3232
     38958 |  680739.4770
     96915 |  680506.1263
    150887 |  680195.8800
     71480 |  679989.3504
     31391 |  679814.2512
    160946 |  679650.2310
    133563 |  679511.9016
    165934 |  679436.2189
    186693 |  679396.6575
    153797 |  679017.8352
     58196 |  678848.3904
    177590 |  678842.5372
     13632 |  678825.2397
      4686 |  678774.9696
    172896 |  678735.4497
     96766 |  678574.4620
    176457 |  678474.9525
    124250 |  678321.5025
    198634 |  678220.6872
    173940 |  678013.0404
      2601 |  677687.5560
    104262 |  677588.3886
     88865 |  677159.4422
    156915 |  676798.9502
    180609 |  676600.3200
       619 |  676575.9603
     13958 |  676560.1690
    121792 |  675818.1540
     87235 |  675746.5224
    135667 |  675717.6476
    133436 |  675511.6653
    180859 |  674350.0555
     67589 |  674123.6664
    136869 |  674083.6234
     76971 |  673997.6200
    150946 |  673927.3112
    137155 |  673695.8865
     83987 |  673661.2542
     80564 |  673628.9528
    171836 |  673292.2853
     75589 |  673285.7114
     12315 |  673228.6274
     61857 |  673083.6310
    183976 |  672950.9996
     40396 |  672605.0870
     89770 |  671932.9791
     62996 |  671835.6205
     26772 |  671591.7318
    192926 |  671351.4676
    196646 |  671334.6336
    141502 |  670805.1000
    162147 |  670722.0494
     78493 |  670660.9973
    170358 |  670638.8920
    133585 |  670561.5082
     22811 |  670394.9746
     82581 |  670181.6596
    125913 |  669738.2922
     39818 |  669690.4538
     59960 |  669490.0520
    135461 |  669201.9474
    111565 |  668981.7048
    130487 |  668935.5336
    170483 |  668695.4660
    163628 |  668375.9782
     48707 |  667892.8230
    126285 |  667507.0840
     88827 |  667005.1606
    113976 |  666978.2449
    111054 |  666966.2615
    153629 |  666940.0894
    107576 |  666920.5055
    166351 |  666778.1340
    119929 |  666764.5104
    196464 |  666144.7694
    161947 |  665943.5206
     39102 |  665429.4760
     98969 |  665406.6352
     86884 |  665322.3456
     53570 |  665282.0762
    100086 |  664930.7584
     71767 |  664849.6612
      7601 |  664749.5040
    196970 |  664406.8368
    150612 |  664378.9560
    172940 |  663948.1296
     99375 |  663944.4033
    129608 |  663915.7920
    156575 |  663657.4132
     43990 |  663068.4715
    153377 |  662733.3321
    189928 |  662644.5696
    160993 |  662452.8548
    102745 |  662253.6408
    138572 |  662024.7985
    169675 |  661997.5848
    199669 |  661991.7514
     22911 |  661601.3716
     28731 |  661584.9753
     99387 |  661566.6722
     61418 |  661054.6543
     12938 |  660930.0844
     16575 |  660884.8356
    106566 |  660868.3400
     78984 |  660366.1018
     86577 |  660295.6110
    193936 |  660112.9367
     76876 |  659751.4209
    158901 |  659682.7410
     85589 |  659638.7994
    106877 |  659505.2096
    134834 |  659341.9123
     56983 |  659302.2030
    109242 |  659278.3560
     11884 |  659177.7540
    111457 |  659128.4670
    119653 |  659074.2795
     44379 |  658998.5589
    158879 |  658933.9361
    143399 |  658624.1218
    184822 |  658596.5598
    111328 |  658463.2848
    155580 |  658320.9500
    134262 |  658292.6784
    143513 |  658248.0790
    191953 |  658208.0565
    115843 |  658103.7136
    131386 |  657961.9698
    118877 |  657828.9726
    162963 |  657565.8372
    172992 |  657368.9166
     83072 |  657329.7114
    151851 |  657206.3330
     53579 |  656997.4333
     13923 |  656992.8072
    147803 |  656978.4760
     28699 |  656903.1302
     14816 |  656253.9196
    179669 |  656079.7454
    117552 |  655883.5540
    135936 |  655154.0232
    139434 |  655131.1809
    152824 |  654935.1072
     94632 |  654913.7706
      5500 |  654766.2300
     86804 |  654680.6640
    128962 |  654587.8288
    144260 |  654438.5402
    161851 |  654022.5435
    166610 |  653274.3204
    146479 |  653007.9429
    160757 |  652953.9775
      6616 |  652910.3941
    105255 |  652885.1150
    187904 |  652885.0630
    154875 |  652817.1249
     80869 |  652704.6024
    152902 |  652702.0120
      7405 |  652630.2720
    198889 |  652541.4888
     34916 |  652538.3205
    191380 |  652498.1748
    174540 |  652177.2876
    197229 |  652022.8008
    143986 |  652009.2762
     82186 |  651669.2130
     26986 |  651560.9880
    108799 |  651545.5939
    116246 |  651378.9520
    191736 |  651220.1990
    126863 |  650943.3784
    167911 |  650804.1317
    149677 |  650574.7226
     80836 |  650479.6449
    176817 |  650163.9111
    160931 |  650126.1134
    121684 |  650085.8184
     91056 |  650019.1105
    171738 |  649874.0430
    100447 |  649567.6488
    188863 |  649500.9336
    148987 |  649457.2602
    174845 |  649424.2768
     89085 |  648991.3584
     12901 |  648904.5860
    146690 |  648410.5784
    118831 |  647717.9745
    153909 |  647678.4840
     46772 |  647477.8467
     86589 |  647311.2872
     77593 |  647224.4331
    172871 |  647114.3230
    199686 |  646969.7208
    120560 |  646923.2080
    131645 |  646898.0112
    193900 |  646701.5260
     17360 |  646676.2736
    123401 |  646392.7200
     58334 |  646229.6165
    146883 |  646220.3180
    167998 |  646159.0324
     12730 |  646036.4271
     77986 |  645933.3822
     57407 |  645715.9440
    108689 |  645559.7968
    195779 |  645352.0771
     69864 |  645078.5936
     88616 |  644042.3157
    147915 |  643618.5599
    183899 |  643487.4628
    181388 |  643309.2578
     19926 |  642749.3440
    129375 |  642639.7120
     96983 |  642523.3098
     97589 |  642199.9866
     76911 |  642153.7074
     63968 |  642028.9472
    165865 |  641953.0242
     51380 |  641698.5324
     76805 |  641162.9120
     77976 |  641156.1761
    146352 |  641143.4750
    121584 |  641140.2056
    120950 |  641130.3255
     59858 |  641046.6240
    113805 |  641017.8720
     55863 |  640929.8868
    192845 |  640843.6880
    181210 |  640827.5230
    134970 |  640086.6725
     37703 |  640037.0700
     28570 |  639904.3757
    108731 |  639855.2967
       865 |  639788.7366
    122234 |  639647.1914
    104056 |  639411.5595
    159711 |  639403.3810
     76127 |  639258.0400
    188980 |  638714.8158
    153912 |  638547.2271
    170696 |  638428.7653
     32974 |  638396.3469
    131674 |  638159.3738
    169890 |  638081.3873
    108861 |  637827.9446
     45614 |  637506.1836
     43110 |  637468.5452
    191877 |  637401.9738
    115845 |  637393.5252
      7871 |  637369.1210
     98998 |  637259.4789
    111947 |  637164.8244
    102804 |  637149.9520
     72796 |  637135.8459
     88357 |  637117.3995
    195974 |  637116.0663
     70596 |  636803.1691
    148993 |  636774.1616
    199274 |  636661.7047
     60302 |  636312.8070
    189429 |  636035.7696
      8585 |  636026.1072
    173986 |  635709.8280
     83999 |  634616.2897
    164256 |  634432.9350
     31896 |  634003.6465
      5739 |  633977.6258
    149718 |  633547.2640
     41077 |  633402.4312
    108493 |  633283.4373
    175711 |  633245.7582
    194654 |  633221.1380
    178851 |  633183.7850
    114996 |  632979.2124
    170815 |  632802.4036
    158271 |  632785.6908
    155792 |  632738.7297
     26601 |  632670.8160
    116366 |  632609.4068
     75551 |  632449.6650
    116287 |  632286.2920
     88056 |  632088.7510
    189908 |  631795.9170
     81837 |  631788.7888
     46980 |  631432.8064
    150826 |  631362.2480
     72165 |  631317.1172
     36613 |  631094.1686
    183769 |  630994.4732
     80594 |  630843.7376
     20758 |  630790.3125
    171797 |  630735.3129
     43570 |  630689.4833
    168671 |  630682.5651
      9770 |  630652.8488
     82690 |  630637.5838
    135805 |  630510.8160
     99896 |  630497.1784
     98993 |  630424.9952
     30843 |  630334.0440
    137883 |  630279.1456
    134866 |  629469.7890
    101786 |  629334.3156
    163909 |  629315.6420
    142846 |  629210.3808
    175730 |  629170.5039
      6732 |  629157.6089
    196430 |  628950.2172
    137934 |  628907.6349
    114655 |  628840.2795
     46843 |  628824.4872
     70732 |  628784.1344
     32901 |  628642.5810
     26902 |  628538.0630
    190975 |  628468.0740
     24685 |  628354.6848
    173507 |  627648.1600
    184611 |  627579.1732
    104620 |  627314.5206
     28668 |  627088.2150
    191467 |  627046.3810
     72607 |  627022.2200
    152330 |  626955.7715
     23976 |  626876.1018
    160877 |  626862.1876
    119696 |  626810.1846
     36884 |  626746.8960
    177371 |  626593.8294
    109889 |  626459.5008
      2614 |  625844.2826
     93870 |  625309.7463
     81513 |  625302.9840
    159902 |  625080.9590
    145376 |  624962.1753
    189812 |  624820.6574
     56595 |  624701.1658
    106816 |  624585.8465
    138611 |  624542.3460
    105913 |  624490.0704
    185865 |  624255.6914
      8644 |  624006.0160
    156870 |  623997.5808
    163393 |  623990.2955
    138907 |  623952.8350
     79839 |  623895.0666
    183967 |  623737.9552
    130991 |  623561.4961
     26624 |  623442.2772
    191698 |  623384.8208
     86874 |  623372.8413
     97895 |  622836.5256
    197150 |  622751.8810
    181942 |  622584.1834
     51521 |  622493.1048
    160571 |  622492.9021
     90521 |  622459.0512
     38697 |  622330.9743
    168822 |  622268.8620
     86415 |  622254.0682
    120887 |  622064.2740
    157922 |  622051.2656
     56370 |  621987.9478
    143606 |  621849.7120
     74636 |  621638.7548
    189557 |  621523.2285
    180871 |  621241.1836
    132948 |  621222.7840
     84954 |  621123.2430
     88880 |  621103.5792
    117691 |  620886.6853
     36477 |  620838.4281
    147758 |  620744.6200
    126349 |  620704.6954
    122967 |  620389.9296
    198589 |  620236.2774
    167974 |  620146.2890
    198731 |  620095.4970
    168967 |  620071.9776
     16951 |  619823.1690
    132944 |  619750.9206
     61412 |  619737.5284
    124964 |  619600.8192
     44593 |  619556.5146
     60604 |  619472.0780
    107694 |  619279.0248
     46939 |  619169.6783
    131577 |  619154.6787
    171943 |  619070.1656
    193927 |  618825.9132
     80740 |  618778.1040
     30941 |  618769.7670
     44971 |  618340.9981
     46494 |  618143.0688
    197398 |  617940.0097
      6576 |  617831.3961
     24927 |  617781.9928
    171429 |  617707.9098
    106878 |  617634.2016
     41521 |  617592.9456
      7581 |  617299.2402
     96402 |  617127.9040
     14903 |  617013.4390
     29877 |  616467.9066
     68974 |  616465.5216
     97516 |  616422.3528
     48589 |  616415.8220
    199770 |  616388.3782
     26943 |  616388.3222
    194867 |  616259.4632
    180832 |  615950.3883
    117946 |  615871.9446
    193631 |  615830.8804
    116469 |  615738.0246
     26782 |  615605.0828
     71861 |  615511.0452
     14685 |  615284.9184
    121389 |  615264.1712
     85421 |  615182.1722
    119382 |  615135.7510
    152399 |  615011.9986
      6947 |  614785.0434
     73976 |  614767.0419
     77133 |  614623.4745
     77143 |  614520.0054
    125407 |  614370.6840
     82785 |  614215.1610
    100848 |  613999.7640
     67703 |  613531.1610
     99474 |  613479.2345
    148974 |  613445.4228
    175457 |  613424.4105
    172405 |  613401.7060
     57646 |  613328.1544
    148901 |  613302.0470
    185744 |  613273.9558
    169076 |  612933.0696
     18916 |  612291.1179
     73937 |  612223.7534
    188870 |  611990.1654
     97702 |  611959.9880
     70962 |  611917.1472
     34964 |  611863.9016
     13697 |  611707.8482
     45778 |  611662.5468
     98903 |  611441.8310
    119812 |  611146.7703
     78909 |  611094.3510
    160854 |  610990.3380
    169431 |  610885.0702
    159164 |  610784.9460
    197898 |  610782.2578
     89640 |  610658.7008
     95984 |  610645.6318
     86608 |  610492.6100
     79852 |  610464.0125
     96150 |  610428.0285
    144948 |  610337.8750
    187150 |  610150.0085
    133939 |  609970.7681
      9955 |  609969.1965
    112884 |  609865.8888
     45967 |  609602.9632
     24911 |  609558.8382
    132568 |  609509.2536
      1577 |  609481.3397
    190687 |  609335.3736
     80999 |  608965.7244
     81813 |  608961.0849
    163840 |  608486.3024
     90841 |  608207.5168
    114520 |  608160.9664
    131412 |  608108.6330
     83341 |  607925.0336
     54671 |  607382.8254
     98558 |  607350.2445
      6812 |  607255.5730
    189793 |  607162.1192
    134492 |  606947.6889
     78827 |  606918.0438
     11900 |  606914.0240
    193831 |  606879.6507
    185411 |  606869.0755
    147923 |  606688.5944
    193273 |  606541.9038
    190866 |  606450.4826
    128997 |  606358.5471
      4770 |  606300.2354
    119896 |  606283.3905
    170817 |  606081.4005
    116868 |  606076.7330
    117921 |  605990.0568
     95869 |  605986.2570
     38867 |  605811.8542
     44746 |  605572.3458
      7589 |  605441.4390
    119302 |  605313.9560
    105430 |  605306.4767
     98949 |  605302.8756
    103632 |  605003.1807
     62871 |  604645.2777
     30975 |  604478.3855
    169632 |  604435.9923
     21831 |  604340.7274
     39916 |  604265.7369
     22322 |  604229.3488
    168861 |  603949.6870
     21768 |  603903.3264
     39402 |  603884.8660
     48934 |  603855.6510
    158698 |  603668.9516
    130404 |  603409.0480
    126911 |  603290.7621
    129743 |  603086.1480
      1458 |  602956.8585
     66945 |  602892.0402
    157934 |  602837.6952
     37580 |  602737.2486
    171723 |  602684.9232
    197413 |  602593.1736
    191381 |  602571.5150
    176611 |  602493.6461
      3264 |  602481.2490
    138867 |  602175.5256
    182846 |  602164.5596
