          s_name           | s_acctbal |          n_name           | p_partkey |          p_mfgr           |                s_address                 |     s_phone     |                                              s_comment                                              
 Supplier#000005572        |   9636.13 | VIETNAM                   |    135571 | Manufacturer#5            | o0VYozeSbEyqck                           | 31-829-399-4904 |  unusual accounts wake along the carefully express requests. c
 Supplier#000004927        |   9634.26 | INDONESIA                 |    197369 | Manufacturer#5            | h5WAYrJzZMHnOnz5EgO,EvjnJPzp0FhX         | 19-636-113-7546 | refully. express deposits detect around the blithely ironic dependencies. r
 Supplier#000003038        |   9629.88 | VIETNAM                   |     55522 | Manufacturer#4            | F5Tz7P juuCbABDuW8JGomRFxqVHBWyQrsLwg4i  | 31-160-454-6537 | odolites. bold, even packages across the blithely ironic deposits sleep
 Supplier#000008251        |   9626.81 | INDIA                     |    188250 | Manufacturer#1            | 2cXnsQkTZiX                              | 18-536-106-2778 | deposits boost blithely even r
 Supplier#000005424        |   9593.18 | CHINA                     |    175423 | Manufacturer#4            | eJ44,Ds5P6Ljs2ohg5oEYMMbOAHN             | 28-249-524-3207 |  dependencies affix blithely furiou
 Supplier#000008400        |   9576.53 | CHINA                     |    123375 | Manufacturer#3            | y0rF4,BBqwBE6hFAdkEMOeSVoVydZ            | 28-215-743-8600 | ecial instructions. regular, pending deposits boost stealthily after the requests. bold
 Supplier#000008400        |   9576.53 | CHINA                     |    188399 | Manufacturer#4            | y0rF4,BBqwBE6hFAdkEMOeSVoVydZ            | 28-215-743-8600 | ecial instructions. regular, pending deposits boost stealthily after the requests. bold
 Supplier#000006000        |   9561.30 | VIETNAM                   |    188445 | Manufacturer#1            | iyk7ceSNxmt                              | 31-542-384-1537 | gside of the regular, ruthless waters. blithe dependencies cajole blithely across the carefully pen
 Supplier#000007552        |   9555.51 | JAPAN                     |    105041 | Manufacturer#3            | yV1BjDrL0DSLzJuhSNMkpQ                   | 22-747-741-3776 | its haggle along the requests. express, unusual foxes along the instructions was alongside of th
 Supplier#000007552        |   9555.51 | JAPAN                     |     85043 | Manufacturer#5            | yV1BjDrL0DSLzJuhSNMkpQ                   | 22-747-741-3776 | its haggle along the requests. express, unusual foxes along the instructions was alongside of th
 Supplier#000002568        |   9552.82 | INDIA                     |     85043 | Manufacturer#5            | SDcPOeCWygcHRk5E7aBCDFpGlgk5xT6          | 18-578-440-4077 | thely regular foxes wake slyly. multipliers against the sly
 Supplier#000000414        |   9547.00 | VIETNAM                   |    120413 | Manufacturer#3            | FkmlHgU9pqCboQ32Lcx                      | 31-118-322-1371 | . blithely unusual packages might cajole blithely regular requests.
 Supplier#000003217        |   9539.80 | INDIA                     |     98198 | Manufacturer#5            | B UeP1vTLP Do1h A2H2ajkrWrq              | 18-769-187-1802 | er quiet requests. ironic ideas sleep blithely. sl
 Supplier#000009550        |   9524.33 | INDONESIA                 |     29549 | Manufacturer#5            | rsOABl2HDhHUl4kpPsj0gbZPONYWOrfbs8       | 19-471-689-2492 | re ruthlessly against the fluffily bo
 Supplier#000009550        |   9524.33 | INDONESIA                 |    157034 | Manufacturer#4            | rsOABl2HDhHUl4kpPsj0gbZPONYWOrfbs8       | 19-471-689-2492 | re ruthlessly against the fluffily bo
 Supplier#000008228        |   9522.75 | JAPAN                     |     70706 | Manufacturer#1            | WyCUGJa30D                               | 22-915-176-4354 | deas. regular deposits alongside of the slyly thin packages cajole
 Supplier#000008228        |   9522.75 | JAPAN                     |    190670 | Manufacturer#4            | WyCUGJa30D                               | 22-915-176-4354 | deas. regular deposits alongside of the slyly thin packages cajole
 Supplier#000000767        |   9504.89 | VIETNAM                   |     98257 | Manufacturer#5            | bHEuqKKdmCMEKOV                          | 31-880-346-2583 | e slyly carefully special accounts. furiously bold foxes sleep regularly. furiously unusual
 Supplier#000005355        |   9491.33 | JAPAN                     |     82846 | Manufacturer#2            | 4PjyW,Ua1KgEZmsEv1tmtKoOvkziBKzSRhLN N   | 22-185-107-2267 | egular courts around the slyly even ide
 Supplier#000006965        |   9456.26 | CHINA                     |    171930 | Manufacturer#1            | VbyGXfyyucsCa,COTUXXQiN5uKmIq1ggGXc1M    | 28-297-592-5284 | slyly silent requests! furiously regular packag
 Supplier#000004086        |   9452.73 | INDIA                     |     14085 | Manufacturer#2            | KTYGIMlW8QAwgnW3brLo1IJKkT8Jh            | 18-307-627-1756 | ions snooze quickly quickly regular theodolites. fluffily pending 
 Supplier#000007449        |   9417.92 | INDIA                     |     72434 | Manufacturer#2            | aRS5s8KGcawKyM8dbBqa0l6ve8aMR8s6m        | 18-148-870-6544 | sits are about the slyly even deposits. ironic accounts maintain fluffily slyly ironic f
 Supplier#000002696        |   9393.43 | VIETNAM                   |     80187 | Manufacturer#2            | jcKZe1I4rY2p7Lg,SV b                     | 31-168-339-2310 | nic courts. regular requests wak
 Supplier#000007649        |   9380.82 | INDONESIA                 |    102628 | Manufacturer#2            | ifREImqBy8                               | 19-179-565-3935 | old packages about the ideas sleep doggedly unusual, special packages. evenly ironic pack
 Supplier#000003810        |   9380.43 | VIETNAM                   |    103809 | Manufacturer#4            | 1zPgEZHmn0fbUaQDRNH,uZ uci               | 31-319-356-3632 | l instructions play furiously bold accounts. bold, final accounts a
 Supplier#000008199        |   9380.01 | INDIA                     |     98198 | Manufacturer#5            | mDuP66PNn,oiex1ssUJWkPqKoFvuGc0y7l       | 18-751-742-1146 | y regular excuses. fluffily final packages doubt slyly according to the deposits. ca
 Supplier#000000551        |   9364.67 | INDIA                     |    128038 | Manufacturer#1            | ZNiqP1w6Z SGZsLllIhaicTnLCCuAepdNbkm6pJ  | 18-297-775-8421 | lithely even instructions poach quickly. furiously bold accounts sleep final, final accoun
 Supplier#000001875        |   9358.58 | JAPAN                     |     41874 | Manufacturer#2            | Tle 4UCeN4gL                             | 22-550-981-2256 | coys nag carefully. quickly unusual foxes shall h
 Supplier#000001795        |   9352.84 | INDONESIA                 |    194237 | Manufacturer#2            | wmxB8RWp0XJpNqekpZEsHaD                  | 19-853-380-2417 | d haggle. final theodolites sleep among the blithely fi
 Supplier#000003306        |   9270.32 | INDONESIA                 |    148277 | Manufacturer#2            | Vr,BC0CRsL7hW8E4j74Cicu                  | 19-270-601-1021 | refully even pinto beans affix quick accounts. quickly regular platelets sleep to the carefully re
 Supplier#000007062        |   9268.80 | INDIA                     |    129525 | Manufacturer#4            | DGBGsC97WZ uHillDcuwPuK6qYr3vw           | 18-314-204-6543 | uses are. ironic tithes among the regular foxes boost slyly express excuses; quickly dari
 Supplier#000009646        |   9256.15 | INDONESIA                 |     77138 | Manufacturer#4            | PNLwcL8HIKRjIx7                          | 19-306-917-5939 | ges. fluffily regular packages sleep slyly on the furiously special foxes. furiously silent pin
 Supplier#000003282        |   9249.17 | JAPAN                     |     63281 | Manufacturer#5            | ZYRZsEp8l,kp3h6LsFiDk                    | 22-476-692-7508 | lar pinto beans. furiously regular packages use quickly. packages 
 Supplier#000001313        |   9209.53 | JAPAN                     |     21312 | Manufacturer#5            | 8Rh,5SSqCH                               | 22-203-596-3566 | ckages wake. slyly ironic instructions wake accounts! quickly ironic epitaphs hag
 Supplier#000002639        |   9185.89 | INDIA                     |    105108 | Manufacturer#4            | DDS86GEba3puFUBs0g1Mlqyi,m,KatYyy0Nb     | 18-981-674-2068 | kages haggle fluffily at the ironic requests. carefully pending asymptotes
 Supplier#000002639        |   9185.89 | INDIA                     |    167606 | Manufacturer#4            | DDS86GEba3puFUBs0g1Mlqyi,m,KatYyy0Nb     | 18-981-674-2068 | kages haggle fluffily at the ironic requests. carefully pending asymptotes
 Supplier#000002639        |   9185.89 | INDIA                     |    162638 | Manufacturer#3            | DDS86GEba3puFUBs0g1Mlqyi,m,KatYyy0Nb     | 18-981-674-2068 | kages haggle fluffily at the ironic requests. carefully pending asymptotes
 Supplier#000007162        |   9179.69 | VIETNAM                   |     97161 | Manufacturer#1            | FhVeZZDNEYZH MEcwstpgw7                  | 31-755-574-2420 | lar deposits. blithely even Tiresias cajole quickly around the even, ironic instruc
 Supplier#000006535        |   9158.27 | INDIA                     |     84026 | Manufacturer#1            | 4pI9S,jeKmLLwnbZtusbZoe5za3X5Meluse Bixn | 18-222-598-5337 | hely pending ideas nag furiously special, ironic instructions? care
 Supplier#000005744        |   9109.12 | JAPAN                     |     15743 | Manufacturer#4            | ryzWvnrxMg8km1YMVZaIfOUgv, XVfM          | 22-916-625-1543 | cial asymptotes detect carefully among the carefully even accounts. foxes affix c
 Supplier#000009830        |   9094.47 | INDONESIA                 |    117318 | Manufacturer#2            | ogbH63pS,VAoiGpDaMDRTSq7coA              | 19-230-592-9116 | ts. quickly pending packages detect carefully among the furiously regular instructions. ent
 Supplier#000009830        |   9094.47 | INDONESIA                 |     59829 | Manufacturer#2            | ogbH63pS,VAoiGpDaMDRTSq7coA              | 19-230-592-9116 | ts. quickly pending packages detect carefully among the furiously regular instructions. ent
 Supplier#000004132        |   9094.28 | CHINA                     |    156586 | Manufacturer#4            | 93NSzNRlTdFtzO6Y7YAcJVMm3k6Kejmi         | 28-258-314-7612 | s haggle above the carefully unusual accounts. furiously fi
 Supplier#000001869        |   9076.51 | VIETNAM                   |     31868 | Manufacturer#3            | nogoCdaFQii,ri9rs3P8f5rPt1wVOMw9I7TmypxK | 31-431-165-3867 | regular dependencies sleep final, bold deposits. slow platelets according to the
 Supplier#000007078        |   9066.41 | JAPAN                     |    147077 | Manufacturer#5            | KbUybJPPmTnc0aNkcGTwnoIm3C3mC0           | 22-831-188-8290 | ajole quietly pending requests. boldly final foxes boost fluffily. careful
 Supplier#000007078        |   9066.41 | JAPAN                     |    142049 | Manufacturer#3            | KbUybJPPmTnc0aNkcGTwnoIm3C3mC0           | 22-831-188-8290 | ajole quietly pending requests. boldly final foxes boost fluffily. careful
 Supplier#000009263        |   9056.04 | INDIA                     |    106752 | Manufacturer#2            | y5cT48CXI,0y48W                          | 18-809-566-9898 | y. carefully silent instructions nag blithely special requests. stealthy, special ideas around the
 Supplier#000007100        |   9042.87 | INDIA                     |      7099 | Manufacturer#1            | uepAB9PA3BhNu,THXvIB                     | 18-222-364-6257 | ccounts nag. slyly regular ideas use. furiously regular requests print. unusual, stealthy theodo
 Supplier#000004341        |   9026.06 | VIETNAM                   |    169308 | Manufacturer#4            | ea8KZYvO7amq8A                           | 31-310-408-4095 | ackages nag quickly even dolphins. slyly final foxes are carefully. instructions accord
 Supplier#000009716        |   9008.68 | CHINA                     |      9715 | Manufacturer#5            | VXVt87Jc Eg2w8x8QGk,c3                   | 28-427-307-2561 | ly unusual pinto beans. sometimes express foxes affix fluffily. bold deposits unwind fluffily r
 Supplier#000003176        |   9007.95 | INDONESIA                 |     40671 | Manufacturer#3            | YUCh3B5y69ydExisZud1X                    | 19-755-792-6352 | n pinto beans. furiously final requests sleep according to the regular deposits? slyly ironic 
 Supplier#000006905        |   8973.86 | JAPAN                     |    109374 | Manufacturer#2            | VAktOD8JapqInpe5xjxDUSic2DnfLFOt4kyTWEw  | 22-648-880-9962 | ounts cajole among the final deposits. slyly
 Supplier#000003698        |   8940.75 | VIETNAM                   |    143697 | Manufacturer#5            | lnSEu64ca4B53BfznJPg                     | 31-804-633-2078 | nal theodolites boost fluffily blithely final 
 Supplier#000003698        |   8940.75 | VIETNAM                   |    108677 | Manufacturer#2            | lnSEu64ca4B53BfznJPg                     | 31-804-633-2078 | nal theodolites boost fluffily blithely final 
 Supplier#000009387        |   8901.67 | CHINA                     |     41874 | Manufacturer#2            | 7POl yxTprmpFaFkLy3m                     | 28-157-601-9339 | oost carefully idle, ironic packages. slyly special foxes along the fluffily unusual
 Supplier#000004123        |   8853.39 | JAPAN                     |    199084 | Manufacturer#5            | cj mnWwEmCpO3LHL2                        | 22-394-647-5982 | ual pinto beans alongside of the quickly pending packages detect alongside of
 Supplier#000003551        |   8843.87 | CHINA                     |    141036 | Manufacturer#5            | bumlGkLc0PiTwlwIVoIM7yvF6EBPZ0           | 28-242-414-9331 | ke furiously. furiously pending dependencies sleep fluffily ove
 Supplier#000008964        |   8838.80 | VIETNAM                   |     78963 | Manufacturer#2            | U2YJW,Y1xCbUWbjuovtzsLfsl                | 31-984-439-7577 | lly bold requests. slyly bold pinto beans after t
 Supplier#000002834        |   8804.25 | JAPAN                     |    147805 | Manufacturer#1            |  cbmx43fm6SlE9UbdE7koBZlzRIeFwkXA        | 22-261-543-1063 | counts boost. slyly regular ideas use fluffily furiously unusu
 Supplier#000009594        |   8803.64 | VIETNAM                   |    112060 | Manufacturer#3            | t5POxK43OIjIfHTB90                       | 31-703-320-6583 | y carefully express platelets. bold, 
 Supplier#000009594        |   8803.64 | VIETNAM                   |     69593 | Manufacturer#3            | t5POxK43OIjIfHTB90                       | 31-703-320-6583 | y carefully express platelets. bold, 
 Supplier#000007229        |   8798.71 | VIETNAM                   |     54723 | Manufacturer#2            | iwNoWdaURFzLAsQHxK,BeOPpI5TOTo           | 31-503-440-8378 |  the quickly final deposits wake fluffily express ideas. even accounts sublate fluffi
 Supplier#000006992        |   8776.34 | CHINA                     |     16991 | Manufacturer#2            | Wrosic29lr6isSctUf OShRaPgFbPcLB         | 28-147-515-6998 | sual foxes according to the furiously final braids kindle quickly carefully 
 Supplier#000002645        |   8771.23 | JAPAN                     |     65126 | Manufacturer#5            | DhTKpVgrzHa4NcbuJtK9ZokCfxuCrugCY        | 22-288-789-8442 |  blithely permanently pending asymptotes. furiously regular requests 
 Supplier#000003163        |   8752.64 | INDIA                     |    130649 | Manufacturer#5            | 1a12bXvGYZs3gFSYsRtTJ7I6CZd5OhHNjvY      | 18-380-830-5088 | ily blithely pending pearls. furiously ironic asymptotes detec
 Supplier#000008462        |   8693.69 | INDIA                     |    193423 | Manufacturer#2            | 3K6 wmXG E64Mfx 4Et                      | 18-878-705-6103 |  bold, regular foxes beyond t
 Supplier#000008462        |   8693.69 | INDIA                     |     70940 | Manufacturer#1            | 3K6 wmXG E64Mfx 4Et                      | 18-878-705-6103 |  bold, regular foxes beyond t
 Supplier#000000351        |   8684.60 | JAPAN                     |    122814 | Manufacturer#4            | ZLWTvVCSmwsKfElT7K 2O1Ui                 | 22-508-407-2628 | ithely ironic theodolites play. decoys sleep slyly against the deposits. s
 Supplier#000008939        |   8653.24 | VIETNAM                   |    148938 | Manufacturer#4            | FNG4YBI38pq6U6jLU,                       | 31-442-299-2419 | ual pinto beans. carefully regular dependen
 Supplier#000005796        |   8612.85 | INDONESIA                 |     48283 | Manufacturer#2            | IgQVugiNTGwZltdxqcRkiP3                  | 19-524-102-8768 | yly after the regular, even packages. busily ironic fox
 Supplier#000007954        |   8611.81 | INDONESIA                 |    195434 | Manufacturer#1            | b7,8HFIMQGf7ciShy,F9VJYiUjLB             | 19-311-769-3690 | long the carefully ironic requests. notornis
 Supplier#000001638        |   8611.17 | JAPAN                     |     41637 | Manufacturer#4            | Kvwg58SG5NmUo1Ovy                        | 22-635-832-5981 | ly final ideas. slyly regular pi
 Supplier#000005280        |   8601.37 | INDONESIA                 |     82771 | Manufacturer#4            | NB0MFCA5mH9UklskxDx Qi3oX h39gLySVTK     | 19-299-951-6016 | accounts integrate according to the furiously express cour
 Supplier#000005280        |   8601.37 | INDONESIA                 |    110257 | Manufacturer#3            | NB0MFCA5mH9UklskxDx Qi3oX h39gLySVTK     | 19-299-951-6016 | accounts integrate according to the furiously express cour
 Supplier#000007932        |   8572.69 | INDIA                     |     52921 | Manufacturer#4            | 4NAtwsPVHVUmuaFXA                        | 18-138-224-6208 | long the deposits wake quickly care
 Supplier#000005924        |   8568.78 | CHINA                     |    180887 | Manufacturer#4            | EsAX2Kl2ePben8iCc9airPaQAuA9HIr0c9A4T,K  | 28-596-222-5796 | arefully regular pinto beans use packages. carefully final packages acco
 Supplier#000002421        |   8549.71 | INDIA                     |    182420 | Manufacturer#4            | jIIalqYeEL3ktnsrjTikOYN,EEG,wLWTqOD4     | 18-486-744-9142 | to beans haggle. silent accounts lose slyly. slyly unusual requests dazzle carefully pending dept
 Supplier#000008230        |   8531.92 | INDONESIA                 |     38229 | Manufacturer#5            | NbuT6,ZzZni0                             | 19-446-942-6869 | ly. blithely special platelets wake furiously careful
 Supplier#000001736        |   8530.37 | INDONESIA                 |    169219 | Manufacturer#3            | cbzU5P1b4c9k7Hr0YTPt                     | 19-566-122-9621 | side of the blithely silent packages 
 Supplier#000000187        |   8517.04 | CHINA                     |    162638 | Manufacturer#3            | oMtyTl6hTyLQhiBwrUaa42zKOjfNobEq         | 28-127-320-9230 | riously along the carefully silent instructions. 
 Supplier#000004600        |   8513.63 | JAPAN                     |      7099 | Manufacturer#1            | iGVGwr0UYHqbt5Mg                         | 22-756-980-3416 | kages haggle furiously above the carefully bold 
 Supplier#000002064        |   8473.17 | INDONESIA                 |     64545 | Manufacturer#2            | t840Ipd5YG7SZyQQUUEQNPZ fQfjJT5lv        | 19-450-298-8597 | fluffily regular, special theodolites. brave dugouts hag
 Supplier#000004345        |   8462.97 | INDONESIA                 |    149316 | Manufacturer#3            | p,LAXgSm x19                             | 19-934-108-4550 |  blithely regular instructions sleep blithely about the furiously pending packages. slyly sil
 Supplier#000003120        |   8461.22 | INDONESIA                 |    138093 | Manufacturer#4            | DBhl1PhP1V9vK7OMmo7Ri60dcI               | 19-634-281-8564 | ironic sheaves at the quickly regular packages integrate furiously furiously pending packages. qu
 Supplier#000008258        |   8442.70 | INDIA                     |     98257 | Manufacturer#5            | JaTsYwI4yFu283q83                        | 18-239-643-9980 | ions. thinly special accounts 
 Supplier#000008258        |   8442.70 | INDIA                     |     28257 | Manufacturer#3            | JaTsYwI4yFu283q83                        | 18-239-643-9980 | ions. thinly special accounts 
 Supplier#000008258        |   8442.70 | INDIA                     |    153227 | Manufacturer#3            | JaTsYwI4yFu283q83                        | 18-239-643-9980 | ions. thinly special accounts 
(100 rows)

