          s_name           |     s_phone     
 Supplier#000001463        | 15-484-394-3837
 Supplier#000001531        | 15-945-324-4201
 Supplier#000001538        | 15-344-384-1691
 Supplier#000001550        | 15-207-965-2975
 Supplier#000001580        | 15-814-392-7616
 Supplier#000001593        | 15-528-294-8640
 Supplier#000001627        | 15-112-462-8537
 Supplier#000001655        | 15-449-908-4417
 Supplier#000001668        | 15-214-784-9215
 Supplier#000001727        | 15-658-818-9847
 Supplier#000001737        | 15-199-724-3432
 Supplier#000001759        | 15-110-929-1862
 Supplier#000001780        | 15-148-378-4534
 Supplier#000001792        | 15-820-745-6527
 Supplier#000001817        | 15-103-734-9639
 Supplier#000001820        | 15-664-895-4843
 Supplier#000001847        | 15-843-949-5894
 Supplier#000001850        | 15-547-277-5192
 Supplier#000001861        | 15-867-623-9256
 Supplier#000001935        | 15-134-339-9047
 Supplier#000001970        | 15-350-889-1064
 Supplier#000001975        | 15-516-365-1831
 Supplier#000001978        | 15-541-919-6147
 Supplier#000002023        | 15-826-899-7652
 Supplier#000002084        | 15-241-499-4185
 Supplier#000002087        | 15-542-152-7965
 Supplier#000002109        | 15-125-731-1831
 Supplier#000002147        | 15-600-322-9441
 Supplier#000002150        | 15-313-570-1950
 Supplier#000002153        | 15-747-316-6887
 Supplier#000002182        | 15-415-986-8042
 Supplier#000002186        | 15-655-903-2294
 Supplier#000002217        | 15-801-159-5004
 Supplier#000002219        | 15-855-925-7829
 Supplier#000002233        | 15-509-673-3425
 Supplier#000002275        | 15-209-306-1486
 Supplier#000002326        | 15-143-424-9736
 Supplier#000002346        | 15-308-126-9449
 Supplier#000002347        | 15-381-519-4927
 Supplier#000002353        | 15-175-686-8133
 Supplier#000002382        | 15-391-167-3113
 Supplier#000002384        | 15-204-993-2671
 Supplier#000002404        | 15-366-436-2694
 Supplier#000002414        | 15-728-678-4300
 Supplier#000002461        | 15-442-573-5761
 Supplier#000002485        | 15-819-144-9617
 Supplier#000002498        | 15-815-470-5030
 Supplier#000002509        | 15-163-414-7176
 Supplier#000002510        | 15-761-995-7298
 Supplier#000002551        | 15-457-583-6333
 Supplier#000002554        | 15-739-167-4541
 Supplier#000002580        | 15-284-495-3109
 Supplier#000002592        | 15-482-126-8688
 Supplier#000002595        | 15-858-185-9462
 Supplier#000002635        | 15-141-516-7435
 Supplier#000002691        | 15-641-370-4866
 Supplier#000002732        | 15-270-948-2546
 Supplier#000002760        | 15-554-965-5719
 Supplier#000002770        | 15-931-941-9457
 Supplier#000002822        | 15-438-209-6013
 Supplier#000002858        | 15-284-893-1446
 Supplier#000002878        | 15-888-304-8960
 Supplier#000002925        | 15-479-367-5494
 Supplier#000002958        | 15-451-727-3089
 Supplier#000002964        | 15-812-632-8371
 Supplier#000002973        | 15-295-459-7347
 Supplier#000002979        | 15-910-777-6663
 Supplier#000002985        | 15-653-433-7716
 Supplier#000003004        | 15-931-357-9763
 Supplier#000003036        | 15-950-158-1297
 Supplier#000003058        | 15-915-896-1162
 Supplier#000003103        | 15-501-459-3317
 Supplier#000003110        | 15-619-843-4600
 Supplier#000003155        | 15-598-914-5008
 Supplier#000003157        | 15-865-233-6191
 Supplier#000003190        | 15-538-280-5008
 Supplier#000003197        | 15-450-466-2595
 Supplier#000003204        | 15-939-676-7293
 Supplier#000003218        | 15-395-281-9120
 Supplier#000003221        | 15-847-639-4403
 Supplier#000003238        | 15-394-335-2341
 Supplier#000003259        | 15-416-906-4462
 Supplier#000003326        | 15-661-672-5861
 Supplier#000003411        | 15-333-410-6946
 Supplier#000003433        | 15-334-430-7428
 Supplier#000003443        | 15-703-549-2363
 Supplier#000003447        | 15-806-372-7742
 Supplier#000003464        | 15-869-904-6882
 Supplier#000003472        | 15-479-819-6508
 Supplier#000003477        | 15-826-822-3562
 Supplier#000003486        | 15-316-749-3098
 Supplier#000003493        | 15-563-783-5864
 Supplier#000003520        | 15-847-816-9775
 Supplier#000003524        | 15-814-332-4222
 Supplier#000003536        | 15-505-807-3709
 Supplier#000003584        | 15-470-512-2898
 Supplier#000003585        | 15-923-605-6967
 Supplier#000003621        | 15-803-438-4439
 Supplier#000003650        | 15-534-720-9698
 Supplier#000003681        | 15-879-583-1708
 Supplier#000003701        | 15-825-550-1220
 Supplier#000003733        | 15-546-392-8568
 Supplier#000003747        | 15-810-590-2125
 Supplier#000003749        | 15-736-222-7223
 Supplier#000003764        | 15-733-458-3598
 Supplier#000003798        | 15-508-254-5516
 Supplier#000003829        | 15-644-782-9969
 Supplier#000003839        | 15-949-119-2553
 Supplier#000003847        | 15-797-203-6297
 Supplier#000003872        | 15-185-891-8461
 Supplier#000003881        | 15-818-549-6778
 Supplier#000003920        | 15-691-940-4136
 Supplier#000003939        | 15-634-278-8420
 Supplier#000003948        | 15-543-886-7762
 Supplier#000004032        | 15-371-244-4107
 Supplier#000004039        | 15-104-769-4241
 Supplier#000004040        | 15-730-739-4440
 Supplier#000004041        | 15-628-284-1230
 Supplier#000004074        | 15-801-984-9558
 Supplier#000004088        | 15-945-528-8622
 Supplier#000004249        | 15-272-365-4305
 Supplier#000004254        | 15-163-912-9576
 Supplier#000004289        | 15-877-942-9592
 Supplier#000004310        | 15-207-372-9865
 Supplier#000004340        | 15-936-199-5467
 Supplier#000004352        | 15-522-365-6958
 Supplier#000004368        | 15-203-571-5716
 Supplier#000004399        | 15-279-100-3454
 Supplier#000004419        | 15-152-489-3407
 Supplier#000004478        | 15-839-281-1312
 Supplier#000004513        | 15-410-158-2722
 Supplier#000004531        | 15-805-355-4079
 Supplier#000004536        | 15-543-666-1460
 Supplier#000004555        | 15-133-503-3928
 Supplier#000004572        | 15-476-159-7207
 Supplier#000004591        | 15-483-963-8657
 Supplier#000004601        | 15-139-205-1544
 Supplier#000004621        | 15-865-976-9704
 Supplier#000004626        | 15-350-407-4023
 Supplier#000004641        | 15-846-828-4921
 Supplier#000004643        | 15-157-725-3051
 Supplier#000004673        | 15-806-479-5890
 Supplier#000004681        | 15-243-148-2996
 Supplier#000004706        | 15-137-786-2210
 Supplier#000004738        | 15-883-567-6484
 Supplier#000004774        | 15-839-101-6007
 Supplier#000004788        | 15-641-694-2010
 Supplier#000004790        | 15-981-931-4002
 Supplier#000004792        | 15-286-331-7727
 Supplier#000004801        | 15-613-402-2047
 Supplier#000004833        | 15-737-550-3941
 Supplier#000004862        | 15-985-709-5896
 Supplier#000004914        | 15-146-186-5016
 Supplier#000004919        | 15-433-902-1697
 Supplier#000004929        | 15-165-696-2848
 Supplier#000004979        | 15-528-952-8885
 Supplier#000004984        | 15-773-360-6268
 Supplier#000004985        | 15-148-929-1980
 Supplier#000005016        | 15-955-178-1560
 Supplier#000005052        | 15-753-514-6917
 Supplier#000005088        | 15-208-170-6484
 Supplier#000005107        | 15-924-840-5789
 Supplier#000005161        | 15-585-813-7109
 Supplier#000005221        | 15-985-107-7643
 Supplier#000005237        | 15-732-795-6730
 Supplier#000005252        | 15-385-337-5993
 Supplier#000005270        | 15-821-957-1766
 Supplier#000005274        | 15-619-409-3013
 Supplier#000005367        | 15-531-938-1725
 Supplier#000005372        | 15-326-890-9087
 Supplier#000005380        | 15-834-438-9601
 Supplier#000005396        | 15-910-110-8993
 Supplier#000005439        | 15-916-955-8476
 Supplier#000005473        | 15-130-672-9099
 Supplier#000005514        | 15-141-950-6425
 Supplier#000005540        | 15-922-885-1259
 Supplier#000005558        | 15-289-693-5194
 Supplier#000005641        | 15-999-988-8566
 Supplier#000005648        | 15-771-332-4497
 Supplier#000005675        | 15-997-627-7932
 Supplier#000005718        | 15-337-255-8243
 Supplier#000005735        | 15-759-700-1576
 Supplier#000005740        | 15-858-545-1925
 Supplier#000005746        | 15-632-671-9153
 Supplier#000005784        | 15-402-811-1863
 Supplier#000005849        | 15-582-489-3907
 Supplier#000005870        | 15-286-734-3144
 Supplier#000005911        | 15-671-778-4965
 Supplier#000005922        | 15-440-529-2724
 Supplier#000005923        | 15-151-950-6154
 Supplier#000005970        | 15-503-953-8421
 Supplier#000006018        | 15-400-598-7522
 Supplier#000006051        | 15-412-970-8192
 Supplier#000006054        | 15-273-681-5978
 Supplier#000006076        | 15-665-754-7994
 Supplier#000006081        | 15-109-845-1791
 Supplier#000006142        | 15-359-277-9696
 Supplier#000006171        | 15-271-849-7468
 Supplier#000006251        | 15-470-707-9609
 Supplier#000006322        | 15-978-516-4873
 Supplier#000006338        | 15-557-297-9599
 Supplier#000006386        | 15-588-214-7300
 Supplier#000006411        | 15-967-750-3353
 Supplier#000006415        | 15-212-904-2698
 Supplier#000006449        | 15-943-315-1987
 Supplier#000006476        | 15-381-545-9309
 Supplier#000006488        | 15-767-873-3625
 Supplier#000006538        | 15-992-941-8372
 Supplier#000006606        | 15-893-401-2489
 Supplier#000006649        | 15-750-526-1453
 Supplier#000006678        | 15-685-267-5244
 Supplier#000006709        | 15-704-822-8514
 Supplier#000006813        | 15-270-267-2414
 Supplier#000006826        | 15-839-357-6200
 Supplier#000006854        | 15-606-967-7758
 Supplier#000006859        | 15-395-879-1706
 Supplier#000006862        | 15-569-302-5521
 Supplier#000006870        | 15-736-432-7997
 Supplier#000006885        | 15-625-719-7144
 Supplier#000006938        | 15-776-230-3663
 Supplier#000006968        | 15-584-254-1458
 Supplier#000006979        | 15-793-442-6510
 Supplier#000007015        | 15-166-122-7339
 Supplier#000007023        | 15-319-886-8295
 Supplier#000007036        | 15-399-535-2559
 Supplier#000007044        | 15-166-556-6472
 Supplier#000007046        | 15-248-134-5861
 Supplier#000007107        | 15-338-555-1847
 Supplier#000007173        | 15-876-287-1035
 Supplier#000007284        | 15-548-268-9777
 Supplier#000007286        | 15-280-171-3074
 Supplier#000007294        | 15-863-561-9005
 Supplier#000007307        | 15-946-270-8340
 Supplier#000007319        | 15-838-867-9396
 Supplier#000007337        | 15-236-375-7373
 Supplier#000007377        | 15-567-196-2012
 Supplier#000007427        | 15-883-816-7527
 Supplier#000007432        | 15-803-834-8325
 Supplier#000007469        | 15-769-400-5716
 Supplier#000007475        | 15-819-523-4605
 Supplier#000007487        | 15-183-399-5255
 Supplier#000007505        | 15-512-324-2294
 Supplier#000007506        | 15-536-477-9412
 Supplier#000007547        | 15-947-904-6471
 Supplier#000007603        | 15-799-960-1671
 Supplier#000007691        | 15-798-957-9943
 Supplier#000007735        | 15-174-432-4420
 Supplier#000007738        | 15-278-716-8834
 Supplier#000007741        | 15-487-996-7263
 Supplier#000007759        | 15-656-197-6064
 Supplier#000007776        | 15-836-662-2866
 Supplier#000007803        | 15-744-596-1467
 Supplier#000007843        | 15-985-681-6603
 Supplier#000007850        | 15-879-894-8543
 Supplier#000007884        | 15-194-649-4415
 Supplier#000007905        | 15-155-649-5726
 Supplier#000007925        | 15-630-577-2259
 Supplier#000008017        | 15-863-981-9311
 Supplier#000008111        | 15-482-752-3234
 Supplier#000008133        | 15-767-207-4031
 Supplier#000008142        | 15-250-408-4638
 Supplier#000008146        | 15-526-243-1532
 Supplier#000008175        | 15-135-641-1169
 Supplier#000008179        | 15-787-639-6185
 Supplier#000008217        | 15-856-254-3708
 Supplier#000008226        | 15-173-793-7725
 Supplier#000008238        | 15-575-214-7975
 Supplier#000008239        | 15-106-898-3843
 Supplier#000008257        | 15-583-943-4692
 Supplier#000008259        | 15-505-907-7716
 Supplier#000008289        | 15-203-606-1989
 Supplier#000008291        | 15-297-514-2676
 Supplier#000008292        | 15-660-195-3804
 Supplier#000008294        | 15-390-728-6058
 Supplier#000008307        | 15-906-908-2980
 Supplier#000008328        | 15-432-476-4924
 Supplier#000008385        | 15-881-456-6267
 Supplier#000008388        | 15-628-465-7589
 Supplier#000008393        | 15-830-175-5274
 Supplier#000008411        | 15-213-446-6812
 Supplier#000008466        | 15-653-391-4079
 Supplier#000008485        | 15-711-844-1174
 Supplier#000008488        | 15-140-796-3382
 Supplier#000008531        | 15-901-206-1728
 Supplier#000008587        | 15-803-611-2450
 Supplier#000008648        | 15-223-150-7533
 Supplier#000008664        | 15-529-301-8528
 Supplier#000008745        | 15-816-554-6784
 Supplier#000008752        | 15-243-897-4103
 Supplier#000008773        | 15-786-171-2752
 Supplier#000008774        | 15-897-579-3890
 Supplier#000008807        | 15-401-653-1126
 Supplier#000008835        | 15-979-985-3172
 Supplier#000008917        | 15-688-918-6080
 Supplier#000008952        | 15-856-379-5065
 Supplier#000008957        | 15-119-290-7994
 Supplier#000008960        | 15-187-740-7440
 Supplier#000009007        | 15-645-562-3510
 Supplier#000009031        | 15-429-301-9156
 Supplier#000009153        | 15-363-777-8969
 Supplier#000009197        | 15-441-453-4938
 Supplier#000009203        | 15-184-963-9482
 Supplier#000009205        | 15-546-132-6261
 Supplier#000009216        | 15-417-241-5494
 Supplier#000009233        | 15-374-186-6259
 Supplier#000009259        | 15-411-992-6327
 Supplier#000009285        | 15-301-927-8192
 Supplier#000009300        | 15-400-775-9386
 Supplier#000009333        | 15-289-312-9549
 Supplier#000009344        | 15-205-553-9893
 Supplier#000009348        | 15-764-224-7770
 Supplier#000009429        | 15-495-957-2715
 Supplier#000009530        | 15-563-724-4838
 Supplier#000009622        | 15-676-570-3786
 Supplier#000009635        | 15-218-564-4264
 Supplier#000009671        | 15-683-792-3902
 Supplier#000009682        | 15-435-370-7884
 Supplier#000009730        | 15-834-304-3803
 Supplier#000009761        | 15-466-674-2289
 Supplier#000009769        | 15-701-408-9313
 Supplier#000009773        | 15-563-235-4911
 Supplier#000009798        | 15-283-773-6941
 Supplier#000009826        | 15-807-809-3623
 Supplier#000009840        | 15-987-639-3405
 Supplier#000009856        | 15-590-600-1062
 Supplier#000009887        | 15-832-242-2522
 Supplier#000009938        | 15-888-732-4995
 Supplier#000009967        | 15-289-544-5688
 Supplier#000009973        | 15-416-747-5079
 Supplier#000009981        | 15-151-440-4215
 Supplier#000009992        | 15-467-813-3355
(380 rows)

